question,option1,option2,option3,option4,answer,audioFileName,startTime,endTime,imageName,scriptKey,script_ko,script_en,script_zh_hans,script_zh_hant,script_ja,script_fr,script_id,script_es,script_th,script_vi
1ばん,1,2,3,4,3,n3q33.mp3,90,190,audioimage7,,,,,,うちで夫と妻が話しています。妻は何を買いに行きますか。男：会社に持っていってる弁当箱、形が通勤用の鞄に入れにくくて、細長い形のがほしいんだ。女：ああ、じゃ、明日デパートの近くに行く用事があるから、買ってきてあげる。男：いい？女：うん。男：二段になってて重ねられるタイプのがいいなあ。一段だと入れられる量が少なくて、夕方にはお腹すいちゃうかもしれないから。女：わかった。前に水筒ほしいって言ってたけど、それも一緒に買っとく？男：あるといいなあと思うけど、今回はいいよ。女：わかった。妻は何を買いに行きますか。,,,,,
2ばん,工場の中,かいぎしつ,ロビー,おうせつしつ,おうせつしつ,n3q33.mp3,190,277,,,,,,,会社の受付で男の人と受付の人が話しています。男の人はどこで山本部長を待ちますか。男：あのう、桜工業の森田と申しますが、営業の山本部長いらっしゃいますか。今日は工場の見学と会議で伺いました。女：はい、森田様、伺っております。申し訳ございませんが、山本は外出先からこちらに戻るのが、交通渋滞で少々遅れておりまして。男：あ、そうですか。ではロビーでお待ちします。女：あっ、いいえ、ロビーの奥に応接室がございまして、本日の会議の資料とお茶をご用意しておりますので、そちらで…。山本が到着しましたら、すぐに工場のほうにご案内しますので。男：あっ、はい、よろしくお願いします。男の人はどこで山本部長を待ちますか。,,,,,
3ばん,食堂の利用方法,学生かへのしょるいの出し方,学生かのけいじばんの見方,としょかんの利用方法,食堂の利用方法,n3q33.mp3,277,385,,,,,,,大学の研究室で先生と女の学生が話しています。女の学生は来週来る留学生に何を教えますか。男：あっ、森さん、来週からうちのゼミに交換留学生が入るって前に話したけど、月曜の12時にここに来ることになったよ。それで、昼休みに案内とかちょっと手伝ってもらえない？女：はい。男：まずは食堂の使い方。注文の仕方とか初めての人にはわかりにくいだろうからね。ついでに、お昼も一緒に。女：はい、誘ってみます。男：それと、学生課へ案内して、書類の出し方とか、掲示板に貼ってあるお知らせの見方とか、いろいろ教えてあげて。図書館も、あっ、あそこは案内係がいるからいいね。じゃ、食堂と学生課頼んだよ。女：あのう、先生、学生課は12時から1時まで昼休みです。すみません、私1時から授業がありまして。2時半過ぎには戻れますが。男：そっか。じゃ、学生課のほうは掲示板と一緒に他の人にお願いするからいいよ。それじゃ、よろしくね。女：はい。女の学生は来週来る留学生に何を教えますか。,,,,,
4ばん,1,2,3,4,2,n3q33.mp3,385,474,audioimage8,,,,,,今日オープンするレストランで女の店員と店長が話しています。女の店員はこのあと何をしなければなりませんか。女：店長、開店まで1時間ありますが、もう外で待ってらっしゃるお客様がいます。男：もう？立ったまま待っていただくのは申し訳ないから、椅子を外に並べて、それから、今日暑いから、待ってる方に冷たいお茶をお出しして。女：はい。あのう、椅子はもうお出しして、座って頂いています。男：そう？ありがとう。女：女性のお客様が多いみたいです。男：じゃ、サラダの注文が多いかもしれないね。野菜多めに準備したんだけど、足りなくなりそうだったら、早めに言ってね。電話で注文して届けてもらうから。女：分かりました。男：じゃ、さっき言ったこと頼んだよ。ちょっと銀行で両替してくる。おつり用の小銭多めにご用意しといたほうが良さそうだからね。女：はい。女の店員はこのあと何をしなければなりませんか。,,,,,
5ばん,"
いんさつした紙をとりに行く",学校の外でパンフレットをくばる,紙をホチキスでとめる,ゆかをかたづける,"
いんさつした紙をとりに行く",n3q33.mp3,474,568,,,,,,,学校のダンス部で男の学生と女の先輩が話しています。男の学生はまず何をしなければなりませんか。男：遅くなってすみません、今日は発表会の案内のパンフレットを印刷して、学校の外で配るんですよね。女：うん、もう、みんな集まって始めてるから、すぐ手伝って。ええとね、印刷は三分の二ぐらい終わって、今みんなで一部ずつホチキスで止めてるところ。全部終わったら、外に出て配ろう。男：じゃ、みんなと一緒にホチキス止めしますね。女：うん、あっ、その前に残りの印刷ができてるはずだから、コピー室行って取ってきてくれない？今行こうとしてたんだけど、そこの机に重ねといた紙の山、床に落としちゃって、私片付けないといけないから、お願い。で、戻ったら、ホチキスで止めるのを手伝って。男：分かりました。男の学生はまず何をしなければなりませんか。,,,,,
6ばん,寺についてのビデオを見る,寺についていろいろ調べる,寺について知っていることを書く,寺についてとなりの人と話し合う,寺について知っていることを書く,n3q33.mp3,568,635,,,,,,,日本語の授業で先生が話しています。学生はこのあとまず何をしますか。女：ええ、今日は日本のお寺を紹介するビデオを見ます。日本はお寺がたくさんあるので、いろいろ調べたり、行って見たりした人もいると思います。これから紙を配りますから、ビデオを見る前にお寺について知っていることを五分ぐらいでメモしてください。続いてビデオを見て、その後で最初にメモしたこと、ビデオを見て新しく発見したことについて隣の人と話し合いましょう。学生はこのあとまず何をしますか。,,,,,
1ばん,どこに行ってもこんでいること,電車の乗りかえがむずかしいこと,知らない人に話しかけられること,日本語がよく分からないこと,電車の乗りかえがむずかしいこと,n3q34.mp3,82,190,,,,,,,大学で女の学生と男の留学生が話しています。男の留学生は今東京の生活でどんなことに困っていると言っていますか。女：李さん、日本に来て一ヶ月、東京の生活にはもう慣れた？男：だいたいのことはね。来たばかりの頃は人が多くて落ち着かなかったけど、国では田舎に住んでたから。女：東京はどこ行っても混んでるからね。男：うん、それはもう慣れたけど。電車が多くて、乗り換えが複雑だからよく間違えて、そのたびに誰か近くにいる人に聞いて教えてもらうんだ。それで、約束の時間に遅れたことが何度も。女：李さんは日本語ができるからいいけど、日本語がよく分からない人だったら、本当に困るだろうね。男：うん。男の留学生は今東京の生活でどんなことに困っていると言っていますか。,,,,,
2ばん,なかまと声をかけ合うこと,せっきょくてきに点をとること,ボールをよく見てまもること,よく考えてボールを出すこと,なかまと声をかけ合うこと,n3q34.mp3,190,292,,,,,,,中学生のサッカーの試合の後で先生が選手たちに話しています。先生は試合で特に何がよくできていたと言っていますか。今日は勝ってよかった。皆試合中互いに声を積極的にかけてたね。仲間に声かけてもらうと力が出るから、それはすごく大事なことで、今日特によかった点だと思う。それから、今日は二点取られた。もっとボールをよく見て守ろう。それにボールをもらってからどうしようか考える時間が長くて、ボールを出す前に取られることが多かった。ボールをもらったらすぐ動くように、次の試合までによく練習しよう。先生は試合で特に何がよくできていたと言っていますか。,,,,,
3ばん,へやからのながめがきれいだから,交通アクセスがいいから,昼食のバイキングがおいしいから,毎日コンサートが見られるから,へやからのながめがきれいだから,n3q34.mp3,292,413,,,,,,,ラジオで男の人と女の人が話しています。雑誌のアンケートで、中山ホテルが一番に選ばれた理由はなんですか。男：この間、ある雑誌の今一番泊まりたいホテルっていうアンケートで、このまちの中山ホテルが全国一位になったんですよ。女：あの丘の上のホテル、わたしたち町の人間として自慢できますね。男：そうですね。部屋からの景色が息を呑む美しさってことで、この結果になったそうですよ。町のはずれにあって、交通のアクセスはよくないんですけどね。女：たしか、どの部屋からも海が見えるように建てられてるんですよ。中山ホテル行ったことありますか。男：ときどきランチのバイキング利用しますよ。おいしいんですよ。女：そうですか。今度ランチ行ってみよう。わたしは前に一度コンサートに行きました。丘の上のコンサートって言って、毎晩ホテルのロビーで開かれてるんですよ。皆さんもぜひ行ってみてください。雑誌のアンケートで、中山ホテルが一番に選ばれた理由はなんですか。,,,,,
4ばん,テレビで見て楽しそうだったから,友だちにさそわれたから,ゴルフ用品が手に入ったから,運動不足だったから,ゴルフ用品が手に入ったから,n3q34.mp3,413,520,,,,,,,会社で女の人と男の人が話しています。男の人がゴルフを始めた理由はなんですか。女：松田さん、ゴルフ始めたんだって？男：うん、半年前から。女：前に食堂のテレビでゴルフの試合見て、何が面白いのか全然わからないって言ってたでしょう。男：うん、たしかにそう思ってた。それに友達に何度誘われてもやりたいとは思わなかったし、ところがね、テレビ番組のクイズに応募したら、ゴルフ用品セットが当たって、本当はほかのものが欲しかったんだけどね。女：そう？男：使わないともったいないから、やることにしたんだ。ゴルフって結構歩くんだよ。やってみて自分がこれまでどんなに運動不足だったか分かった。それに意外と楽しいね。女：そう？始めてよかったね。男の人がゴルフを始めた理由はなんですか。,,,,,
