question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi
__のことばはひらがなでどうかきますか。\n青いドレスがきれいです。,くろい,しろい,あおい,あかい,あおい,,青い,,"The kanji 青い means “blue.” Among the options, あおい (aoi) is the correct hiragana reading. The sentence means “The blue dress is pretty.”",,,,,,,,
鳥のしゃしんを見ました,ぞう,うし,うま,とり,とり,,鳥,,The kanji 鳥 means “bird.” Its correct reading is とり (tori). The sentence means “I saw a picture of a bird.”,,,,,,,,
世界でいちばん高い山はどこにありますか。,せかい,せいかい,せがい,せいがい,せかい,,世界,,The kanji 世界 means “world.” The correct reading is せかい (sekai). The sentence means “Where is the highest mountain in the world?”,,,,,,,,
みちを教えてください。,つたえて ,おしえて ,とらえて ,かんがえて,おしえて ,,教えて,,"The verb 教える (おしえる) means “to teach” or “to tell.” In this sentence, it means “please tell (me).” So おしえて is correct.",,,,,,,,
大通りでタクシーにのりました,おおどおり ,おおとおり ,だいどおり ,だいとおり ,おおどおり,,大通り,,大通り means “main street” or “big road.” The correct reading is おおどおり (ōdōri). The sentence means “I took a taxi on the main street.”,,,,,,,,
今日は風がつよいです。,あめ,ゆき,かぜ,なみ,かぜ,,風,,The kanji 風 means “wind.” The correct reading is かぜ (kaze). The sentence means “The wind is strong today.”,,,,,,,,
ここにはむかし、工場がありました。,こうじょ	,こうじょう        ,こうじょ      ,こうじょう        ,こうじょう        ,,工場,,工場 means “factory.” The correct reading is こうじょう (kōjō). The sentence means “There used to be a factory here.”,,,,,,,,
日本の文化をべんきょうします。,ぶんか     , ぶんが        ,ぶんか        ,ぶんが        ,ぶんか  ,,文化,,文化 means “culture.” The correct reading is ぶんか (bunka). The sentence means “I study Japanese culture.”,,,,,,,,
__のことばはどうかきますか。\nわたしのいえはちかいです。,遠い,近い,返い,追い,近い,,ちかい,,ちかい (近い) means “near.” So the correct kanji is 近い. The sentence means “My house is near.”,,,,,,,,
7時にここにあつまってください,進まって,焦まって,屈まって,集まって,集まって,,あつまって,,あつまる (集まる) means “to gather.” The correct kanji form is 集まって. The sentence means “Please gather here at 7.”,,,,,,,,
ジョーさんはうんてんがじょうずです。,連転,運転,連軽,運輕,運転,,うんてん,,運転 (うんてん) means “driving.” The sentence means “Joe is good at driving.”,,,,,,,,
ひるまはあたたかいです。,昼間,屋間,昼問,屋問,昼間,,ひるま,,昼間 (ひるま) means “daytime.” The sentence means “It is warm during the day.”,,,,,,,,
ランさんは、からだが大きいです。,休,付,体,仕,体,,からだ,,体 (からだ) means “body.” The sentence means “Lan has a big body.”,,,,,,,,
きのうはとてもさむかったです。,凍かった,冷かった,涼かった,寒かった,寒かった,,さむかった,,寒い (さむい) means “cold (weather).” The past tense is 寒かった. The sentence means “It was very cold yesterday.”,,,,,,,,
（）しないで、たくさん食べてください。,ちゅうい,えんりょ,しっぱい,しょうたい,えんりょ,,,,遠慮しないで means “don’t hesitate / don’t hold back.” So the sentence means: “Please don’t hesitate and eat a lot.”,,,,,,,,
国にいると日本語をつかう（）がありません。,きかい,きけん,きせつ,きぶん,きかい,,,,"機会 means “opportunity.” The sentence means: “When I’m in my country, I don’t have opportunities to use Japanese.”",,,,,,,,
いい天気だったのに（）雨がふりはじめました。,もっと,ぜひ,けっして,きゅうに,きゅうに,,,,"急に means “suddenly.” The sentence means: “Although the weather was nice, it suddenly started to rain.”",,,,,,,,
毎日会社に行くのにちかてつを（）しています。,よてい,ようい,りよう,りかい,りよう,,,,利用する means “to use (a service).” The sentence means: “I use the subway to go to work every day.”,,,,,,,,
むすこは からだが（）で びょうきをしません。,じょうぶ,じゃま,ていねい,ふべん,じょうぶ,,,,丈夫 means “healthy/strong.” The sentence means: “My son is strong and doesn’t get sick.”,,,,,,,,
