question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi
__のことばはどうよみますからいちばんいいものをひとつえらんでください。\n\nかばんのなかに五万円のとけいがあります。,ごまんねん,ごまんえん,ごぜんねん,ごぜんえん,ごまんえん,,五万円,“円(엔)”은 일본 화폐 단위(엔)를 의미한다. 그래서 “五万円”은 ごまんえん(5만 엔)으로 읽는다. “ねん”은 “년”을 의미하므로 이 경우에는 틀린 읽기이다.,"“円（えん）” means Japanese currency (yen). So “五万円” is read as ごまんえん (50,000 yen). “ねん” means “year,” so it is incorrect.",“円（えん）”表示日本货币“日元（yen）”。所以“五万円”读作ごまんえん（5万日元）。“ねん”表示“年”，因此在这里是错误的读法。,,“円（圓）”表示日本貨幣「日圓（yen）」。所以「五万円」讀作ごまんえん（5萬日圓）。“ねん”表示「年」，因此在這裡是錯誤的讀法。,"“円（yen）” désigne la monnaie japonaise (yen). Donc “五万円” se lit ごまんえん (50 000 yens). “ねん” signifie “année”, donc cette lecture est incorrecte.","“円 (yen)” adalah mata uang Jepang. Jadi “五万円” dibaca ごまんえん (50.000 yen). “ねん” berarti “tahun”, jadi ini adalah pembacaan yang salah.","“円 (yen)” es la moneda japonesa (yen). Por lo tanto, “五万円” se lee ごまんえん (50.000 yenes). “ねん” significa “año”, así que en este caso es incorrecto.","“円 (เยน)” คือสกุลเงินของญี่ปุ่น (เยน) ดังนั้น “五万円” อ่านว่า ごまんえん (50,000 เยน) ส่วน “ねん” แปลว่า “ปี” จึงเป็นการอ่านที่ผิดในบริบทนี้","“円 (yên)” là đơn vị tiền tệ của Nhật Bản (yên). Vì vậy “五万円” được đọc là ごまんえん (50.000 yên). “ねん” nghĩa là “năm”, nên cách đọc này là sai trong ngữ cảnh này."
としょかんでにほんごのほんを読みます。,よみます,やみます,こみます,あみます,よみます,,読みます,이것은 동사 “読む(읽다)”의 정중형이다. 책을 읽는 의미이므로 よみます가 맞다. 다른 선택지는 의미가 다르다.,"This is the polite form of the verb “読む (to read).” Since it refers to reading a book, よみます is correct. Other options have different meanings.",这是动词“読む（读）”的敬体形式。因为是“读书”的意思，所以用よみます是正确的，其他选项意思不同。,,這是動詞「読む（讀）」的敬體形式。因為是「讀書」的意思，所以用よみます是正確的，其他選項意思不同。,"Ceci est la forme polie du verbe “読む (lire)”. Comme il s’agit de lire un livre, よみます est correct. Les autres options ont des significations différentes.","Ini adalah bentuk sopan dari kata kerja “読む (membaca)”. Karena merujuk pada membaca buku, よみます adalah benar. Pilihan lain memiliki arti yang berbeda.","Esta es la forma educada del verbo “読む (leer)”. Como se refiere a leer un libro, よみます es correcto. Las otras opciones tienen significados diferentes.",นี่คือรูปสุภาพของกริยา “読む (อ่าน)” เนื่องจากหมายถึงการอ่านหนังสือ よみますจึงถูกต้อง ตัวเลือกอื่นมีความหมายต่างกัน,Đây là dạng lịch sự của động từ “読む (đọc)”. Vì mang nghĩa đọc sách nên よみます là đúng. Các lựa chọn khác có nghĩa khác.
毎日晩ご飯のあとさんぽします。,まいひ,こんじつ,まいにち,こんにち,まいにち,,毎日,“毎日”은 매일을 의미하며 まいにち로 읽는다. まいひ나 こんにち 등의 읽기는 이 경우 틀리다.,"“毎日” means every day, and it is read as まいにち. Other readings like まいひ or こんにち are incorrect here.",“毎日”表示“每天”，读作まいにち。まいひ或こんにち等读法在这里都是错误的。,,「毎日」表示「每天」，讀作まいにち。まいひ或こんにち等讀法在這裡都是錯誤的。,“毎日” signifie “tous les jours” et se lit まいにち. Les lectures comme まいひ ou こんにち sont incorrectes ici.,“毎日” berarti “setiap hari” dan dibaca まいにち. Bacaan seperti まいひ atau こんにち tidak benar di sini.,“毎日” significa “todos los días” y se lee まいにち. Lecturas como まいひ o こんにち son incorrectas aquí.,“毎日” หมายถึง “ทุกวัน” อ่านว่า まいにち การอ่านเช่น まいひ หรือ こんにち ไม่ถูกต้องในที่นี้,“毎日” nghĩa là “mỗi ngày” và đọc là まいにち. Các cách đọc như まいひ hoặc こんにち là sai trong trường hợp này.
このこうえんにはとりが多いです。,おい,おおきい,おいい,おおい,おおい,,多い,“多い”는 많다 / 수가 많다라는 의미이며 おおい로 읽는다. “おおきい”는 크다라는 뜻이므로 틀리다.,"“多い” means many / a lot, and is read as おおい. “おおきい” means “big,” so it is wrong.",“多い”表示“多 / 数量多”，读作おおい。“おおきい”表示“大”，所以不正确。,,「多い」表示「多 / 數量多」，讀作おおい。「おおきい」表示「大」，所以不正確。,"“多い” signifie “beaucoup / en grande quantité” et se lit おおい. “おおきい” signifie “grand”, donc c’est incorrect.","“多い” berarti “banyak” dan dibaca おおい. “おおきい” berarti “besar”, jadi salah.","“多い” significa “mucho / en gran cantidad” y se lee おおい. “おおきい” significa “grande”, así que es incorrecto.",“多い” หมายถึง “มาก / จำนวนมาก” อ่านว่า おおい ส่วน “おおきい” หมายถึง “ใหญ่” จึงไม่ถูกต้อง,"“多い” nghĩa là “nhiều / số lượng lớn” và đọc là おおい. “おおきい” nghĩa là “to / lớn”, nên không đúng."
今朝、あめがふりました。,あさ,けっさ,けさ,はさ,けさ,,今朝,“今朝”는 오늘 아침을 의미하며 けさ로 읽는다. 「あさ」는 일반적인 아침을 의미하므로 이 경우 맞지 않는다.,"“今朝” means this morning, and is read as けさ. 「あさ」 just means “morning” in general, so it is not correct here.",“今朝”表示“今天早上”，读作けさ。“あさ”只是泛指“早上”，在这里不正确。,,「今朝」表示「今天早上」，讀作けさ。「あさ」只是泛指「早上」，在這裡不正確。,"“今朝” signifie “ce matin” et se lit けさ. “あさ” signifie simplement “matin” en général, donc ce n’est pas correct ici.","“今朝” berarti “pagi ini” dan dibaca けさ. “あさ” hanya berarti “pagi” secara umum, jadi tidak tepat di sini.","“今朝” significa “esta mañana” y se lee けさ. “あさ” solo significa “mañana” en general, por lo que no es correcto aquí.",“今朝” หมายถึง “เช้านี้” อ่านว่า けさ ส่วน “あさ” หมายถึง “เช้า” ทั่วไป จึงไม่ถูกต้องในบริบทนี้,“今朝” nghĩa là “sáng nay” và đọc là けさ. “あさ” chỉ nghĩa “buổi sáng” nói chung nên không phù hợp ở đây.
ねるまえに風呂にはいります。,ふろう,ふうろ,ふどう,ふろ,ふろ,,風呂,“風呂”는 목욕을 의미하며 ふろ로 읽는다. 다른 읽기는 틀리다.,"“風呂” means bath, and is read as ふろ. Other options are incorrect readings.",“風呂”表示“澡堂 / 洗澡”，读作ふろ，其他读法是错误的。,,「風呂」表示「澡堂 / 洗澡」，讀作ふろ，其他讀法是錯誤的。,“風呂” signifie “bain” et se lit ふろ. Les autres lectures sont incorrectes.,“風呂” berarti “mandi” dan dibaca ふろ. Bacaan lain salah.,“風呂” significa “baño” y se lee ふろ. Las otras lecturas son incorrectas.,“風呂” หมายถึง “อาบน้ำ / ห้องอาบน้ำ” อ่านว่า ふろ การอ่านอื่นไม่ถูกต้อง,“風呂” nghĩa là “bồn tắm / phòng tắm” và đọc là ふろ. Các cách đọc khác là sai.
ふゆやすみに北海道へあそびにいきました。,ほっかいど,ほっかいどう,ほかいど,ほかいどう,ほっかいどう,,北海道,이것은 일본의 지명으로 ほっかいどう로 읽는다. 작은 っ과 장음 う에 주의해야 한다.,"This is a place name in Japan, read as ほっかいどう. Be careful with the small “っ” and long vowel “う”.",这是日本的地名，读作ほっかいどう。要注意小っ和长音う。,,這是日本的地名，讀作ほっかいどう。要注意小っ和長音う。,"C’est un nom de lieu au Japon, qui se lit ほっかいどう. Attention au petit “っ” et au long son “う”.","Ini adalah nama tempat di Jepang, dibaca ほっかいどう. Perhatikan っ kecil dan vokal panjang う.","Este es un nombre de lugar en Japón, se lee ほっかいどう. Ten cuidado con la “っ” pequeña y la vocal larga “う”.",นี่เป็นชื่อสถานที่ในญี่ปุ่น อ่านว่า ほっかいどう ต้องระวังเสียง っ เล็กและเสียงยาว う,"Đây là tên địa danh ở Nhật, đọc là ほっかいどう. Cần chú ý âm っ nhỏ và âm dài う."
この道をみぎにまがります。,かど,はし,みち,へん,みち,,道,“道”는 길 / 도로를 의미하며 みち로 읽는다. 다른 선택지는 다른 한자를 의미한다.,"“道” means road / path, and is read as みち. Other options refer to different kanji.",“道”表示“道路 / 路”，读作みち，其他选项是不同汉字的意思。,,「道」表示「道路 / 路」，讀作みち，其他選項是不同漢字的意思。,“道” signifie “chemin / route” et se lit みち. Les autres options renvoient à d’autres kanji.,“道” berarti “jalan” dan dibaca みち. Pilihan lain memiliki kanji dan arti berbeda.,“道” significa “camino / carretera” y se lee みち. Las otras opciones tienen significados distintos.,“道” หมายถึง “ถนน / ทาง” อ่านว่า みち ตัวเลือกอื่นมีความหมายต่างกัน,“道” nghĩa là “con đường / lối đi” và đọc là みち. Các lựa chọn khác có nghĩa khác.
あのひとはとても有名です。,ゆうめ,ゆめい,ゆうまい,ゆうめい,ゆうめい,,有名,“有名”은 유명하다는 의미이며 ゆうめい로 읽는다. 다른 선택지는 틀린 읽기이다.,"“有名” means famous, and is read as ゆうめい. Other options are incorrect readings.",“有名”表示“有名 / 出名”，读作ゆうめい，其他读法错误。,,「有名」表示「有名 / 出名」，讀作ゆうめい，其他讀法錯誤。,“有名” signifie “célèbre” et se lit ゆうめい. Les autres lectures sont incorrectes.,“有名” berarti “terkenal” dan dibaca ゆうめい. Bacaan lain salah.,“有名” significa “famoso” y se lee ゆうめい. Las otras lecturas son incorrectas.,“有名” หมายถึง “มีชื่อเสียง” อ่านว่า ゆうめい การอ่านอื่นไม่ถูกต้อง,“有名” nghĩa là “nổi tiếng” và đọc là ゆうめい. Các cách đọc khác là sai.
つくえの下にねこがいます。,うえ,すた,した,かた,した,,下,“下”는 아래 / 밑을 의미하며 した로 읽는다. うえ(위)는 의미가 다르다.,"“下” means under / below, and is read as した. Other options like うえ (above) have different meanings.",“下”表示“下面”，读作した，“うえ（上面）”意思不同。,,「下」表示「下面」，讀作した，「うえ（上面）」意思不同。,“下” signifie “en dessous” et se lit した. “うえ (au-dessus)” a un sens différent.,“下” berarti “bawah” dan dibaca した. “うえ (atas)” memiliki arti berbeda.,“下” significa “debajo” y se lee した. “うえ (arriba)” tiene un significado diferente.,“下” หมายถึง “ข้างล่าง” อ่านว่า した ส่วน “うえ (ข้างบน)” มีความหมายตรงข้าม,“下” nghĩa là “bên dưới” và đọc là した. “うえ (bên trên)” có nghĩa khác.
