question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi,
__の ことばは ひらがなで どう かきますか。 今日は とても 楽しかったですね。,いそがしかった,すずしかった,たのしかった,かなしかった,たのしかった,,楽しかった,「楽しかった」のひらがなは「たのしかった」。楽=たの+かった（過去）。,The hiragana for 「楽しかった」 is 「たのしかった」. 楽=たの + かった (past).,「楽しかった」的平假名是「たのしかった」。楽=たの+かった（过去）。,「楽しかった」的平假名是「たのしかった」。楽=たの+かった（過去）。,「楽しかった」はたのしかった。,La lecture en hiragana de 「楽しかった」 est 「たのしかった」。,Hiragana 「楽しかった」 adalah 「たのしかった」。,El hiragana de 「楽しかった」 es 「たのしかった」。,ฮิรางานะของ 「楽しかった」 คือ 「たのしかった」,Hiragana của 「楽しかった」 là 「たのしかった」。,たのしかった
__のことばの読み方として最もよいものを、一つえらびなさい。 会場には大勢の観客がいた。,けんぎゃく,かんぎゃく,けんきゃく,かんきゃく,かんきゃく,,観客,「観客」はかんきゃく（観=かん、客=きゃく）。,観客 reads かんきゃく (audience).,「観客」读作かんきゃく。,「観客」讀作かんきゃく。,観客はかんきゃく。,観客 se lit かんきゃく。,観客 dibaca かんきゃく。,観客 se lee かんきゃく。,観客 อ่านว่า かんきゃく,観客 đọc かんきゃく。,かんきゃく
田村さんが払ってくれました。,くばって,はらって,かざって,ひろって,はらって,,払って,「払って」=支払う（お金を払う）。,Here 「払って」 means paid.,此处「払って」=付款。,此處「払って」=付款。,「払って」は支払う。,「払って」 = a payé.,「払って」 = membayar.,「払って」 = pagó.,「払って」 = จ่ายเงิน,「払って」 = đã trả tiền。,はらって
ホテルには３時ごろ到着します。,とうちゃく,とうつく,とちゃく,とつく,とうちゃく,,到着,「到着」はとうちゃく（到=とう、着=ちゃく）。,「到着」 reads とうちゃく.,「到着」读作とうちゃく。,「到着」讀作とうちゃく。,「到着」はとうちゃく。,「到着」 se lit とうちゃく。,到着 dibaca とうちゃく。,到着 se lee とうちゃく。,到着 อ่านว่า とうちゃく,到着 đọc とうちゃく。,とうちゃく
山下さんが説明を加えました。,つたえました,おえました,くわえました,かえました,くわえました,,加えました,「加える」=付け足す。,「加える」 means to add.,「加える」=添加。,「加える」=添加。,「加える」は付け足す。,Ajouter = 「加える」。,加える = menambahkan.,加える = añadir.,加える = เพิ่ม/เติม,加える = thêm vào。,くわえました
今から訓練を行います。,くんれい,くんれん,ぐんれい,ぐんれん,くんれん,,訓練,「訓練」はくんれん。,訓練 reads くんれん.,「訓練」读作くんれん。,「訓練」讀作くんれん。,「訓練」はくんれん。,訓練 se lit くんれん。,訓練 dibaca くんれん。,訓練 se lee くんれん。,訓練 อ่านว่า くんれん,訓練 đọc くんれん。,くんれん
この豆はスープに使うといいですよ。,こな,いも,かい,まめ,まめ,,豆,「豆」はまめ（豆類）。,「豆」 reads まめ.,「豆」读作まめ。,「豆」讀作まめ。,「豆」はまめ。,豆 = まめ。,豆 = まめ。,豆 = まめ。,豆 = まめ,豆 = まめ。,まめ
社会には共通のルールがあります。,きょうつ,こうつう,きょうつう,こうつ,きょうつう,,共通,「共通」はきょうつう（交通と混同注意）。,共通 reads きょうつう.,「共通」读作きょうつう。,「共通」讀作きょうつう。,「共通」はきょうつう。,共通 se lit きょうつう。,共通 dibaca きょうつう。,共通 se lee きょうつう。,共通 อ่านว่า きょうつう,共通 đọc きょうつう。,きょうつう
来年から税金が上がるそうだ。,ぜいきん,ぜっきん,せいきん,せっきん,ぜいきん,,税金,「税金」はぜいきん。,税金 reads ぜいきん.,「税金」读作ぜいきん。,「税金」讀作ぜいきん。,「税金」はぜいきん。,税金 se lit ぜいきん。,税金 dibaca ぜいきん。,税金 se lee ぜいきん。,税金 อ่านว่า ぜいきん,税金 đọc ぜいきん。,ぜいきん
__ のことばを漢字で書くとき、最もよいものを、一つえらびなさい。 しばらく、きれいななみを見ていた。,池,湖,港,波,波,,なみ,「なみ」=「波」가 정답. 池=연못 湖=호수 港=항구로 의미가 다릅니다。,「なみ」 is 「波」 (wave). 池=pond 湖=lake 港=harbor.,「なみ」应写作「波」（波浪）。池=池塘，湖=湖泊，港=港口。,「なみ」應寫作「波」。池=池、湖=湖、港=港で別物。,「なみ」は「波」。池・湖・港とは別の語。,「なみ」= 波 (vague). 池=étang 湖=lac 港=port.,なみ = 波 (ombak). 池=kolam 湖=danau 港=pelabuhan.,なみ = 波 (ola). 池=estanque 湖=lago 港=puerto.,なみ = 波 (คลื่น) 池=สระ 湖=ทะเลสาบ 港=ท่าเรือ,なみ = 波 (sóng). 池=hồ 湖=hồ lớn 港=cảng.,
