question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi,passage_group,sub_question
__のことばはひらがなでどうかきますか。いちばんいいものをひとつえらんでください。\nあしたは 雨ですか。,ゆき,はれ,くもり,あめ,あめ,,雨,"‘雨’는 ‘아메’라고 읽습니다. 눈 = 눈(snow), 맑음 = 맑음(sunny), 흐림 = 흐림(cloudy). 날씨 어휘를 함께 외워요.","Rain' reads as あめ. ゆき=snow, はれ=sunny, くもり=cloudy. Learn weather vocabulary together.",「雨」读作あめ（雨）。ゆき=雪，はれ=晴天，くもり=阴天。一起记住天气词汇。,「雨」讀作あめ（雨）。ゆき=雪，はれ=晴天，くもり=陰天。一起記住天氣詞彙。,「雨」はあめ。ゆき(雪)・はれ(晴れ)・くもり(曇り)と一緒に覚えましょう。,"Pluie=あめ. ゆき=neige, はれ=ensoleille, くもり=nuageux. Apprenez le vocabulaire meteo.","Hujan=あめ. ゆき=salju, はれ=cerah, くもり=mendung. Pelajari kosakata cuaca.","Lluvia=あめ. ゆき=nieve, はれ=soleado, くもり=nublado. Aprende vocabulario del tiempo.",「雨」อ่านว่า あめ (ฝน) ゆき=หิมะ はれ=แดด くもり=เมฆ เรียนรู้คำศัพท์สภาพอากาศ,"雨' doc la あめ (mua). ゆき=tuyet, はれ=nang, くもり=nhieu may.",,
きょうしつで 書いて ください。,かいて,きいて,はいて,ひいて,かいて,,書いて,"쓰다'의 형태는 '쓰다(かいて)'이다. '키쿠'→'키이테', '하쿠'→'하이테', '히쿠'→'히이테'이다. '쿠'→'이테' 패턴입니다.","The te-form of 書く (write) is かいて. きく→きいて, はく→はいて, ひく→ひいて. Rule: く→いて.",「書く」的て形是かいて。きく→きいて，はく→はいて，ひく→ひいて。规律：く→いて。,「書く」的て形是かいて。きく→きいて，はく→はいて，ひく→ひいて。規律：く→いて。,「書く」のて形はかいて。く→いてのルールです。,Forme te de 書く (ecrire): かいて. きく→きいて. Regle: く→いて.,Bentuk te dari 書く (menulis): かいて. きく→きいて. Pola: く→いて.,Forma te de 書く (escribir): かいて. きく→きいて. Regla: く→いて.,รูปて ของ 書く (เขียน) คือ かいて กฎ: く→いて きく→きいて,Dang te cua 書く (viet): かいて. Quy tac: く→いて.,,
しゃしんは はこの 中に あります。,そば,そと,なか,よこ,なか,,中,"‘中’는 ‘나카(inside)’라고 읽습니다. 소바 = near, 소토 = outside, 요코 = inside. '상자 안' = inside the box.","中' reads as なか (inside). そば=near, そと=outside, よこ=beside. 箱の中=inside the box.",「中」读作なか（里面）。そば=近处，そと=外面，よこ=侧面。箱の中=箱子里面。,「中」讀作なか（裡面）。そば=近處，そと=外面，よこ=側面。箱の中=箱子裡面。,「中（なか）」はinside。そと（外）が反対語です。,"中=なか (interieur). そば=pres, そと=dehors, よこ=cote. 箱の中=dans la boite.","中=なか (dalam). そば=dekat, そと=luar, よこ=samping. 箱の中=di dalam kotak.","中=なか (dentro). そば=cerca, そと=afuera, よこ=al lado. 箱の中=dentro de la caja.",「中」อ่านว่า なか (ข้างใน) そば=ใกล้ そと=นอก よこ=ข้าง,"中' doc la なか (ben trong). そば=gan, そと=ngoai, よこ=ben canh.",,
この いすは 小さいです。,ちいさい,ちさい,しいさい,しさい,ちいさい,,小さい,‘小さい’는 ‘작다’라고 읽습니다. 네 글자: 치·이·사·이. ‘치사이’는 ‘이’가 빠져 있어 잘못된 표현입니다.,小さい reads as ちいさい (small). It has 4 mora: ち・い・さ・い. ちさい is wrong (missing い).,「小さい」读作ちいさい（小）。共4个假名：ち・い・さ・い。ちさい缺少い，是错误的。,「小さい」讀作ちいさい（小）。共4個假名：ち・い・さ・い。ちさい缺少い，是錯誤的。,「小さい」はちいさい。大きい（おおきい）が反対語です。,小さい=ちいさい (petit). 4 mora: ち・い・さ・い. ちさい est incorrect.,小さい=ちいさい (kecil). 4 mora: ち・い・さ・い. ちさい salah.,小さい=ちいさい (pequeno). 4 mora: ち・い・さ・い. ちさい es incorrecto.,「小さい」อ่านว่า ちいさい (เล็ก) 4 โมรา: ち・い・さ・い ちさい ผิด,小さい doc la ちいさい (nho). 4 mora: ち・い・さ・い. ちさい sai.,,
あしたは 火よう日です。,どようび,すいようび,かようび,にちようび,かようび,,火よう日,‘화요일’은 ‘카요우비’라고 읽습니다. 월(월)·화(화)·수(수)·목(목)·금(금)·토(토)·일(일) 요일.,"火曜日 reads as かようび (Tuesday). Days: 月=Mon, 火=Tue, 水=Wed, 木=Thu, 金=Fri, 土=Sat, 日=Sun.",「火曜日」读作かようび（周二）。星期：月・火・水・木・金・土・日，对应周一到周日。,「火曜日」讀作かようび（週二）。星期：月・火・水・木・金・土・日，對應週一到週日。,「火曜日」はかようび。どようび=土曜日、すいようび=水曜日、にちようび=日曜日。,"火曜日=かようび (mardi). どようび=sam., すいようび=mer., にちようび=dim.","火曜日=かようび (Selasa). どようび=Sabtu, すいようび=Rabu, にちようび=Minggu.","火曜日=かようび (martes). どようび=sabado, すいようび=mierco., にちようび=domingo.",「火曜日」อ่านว่า かようび (อังคาร) どようび=เสาร์ すいようび=พุธ にちようび=อาทิตย์,"火曜日 doc la かようび (Thu Ba). どようび=Thu 7, すいようび=Thu 4, にちようび=CN.",,
きれいな 空ですね。,いえ,うみ,にわ,そら,そら,,空,"‘空’는 ‘소라(sky)’라고 읽습니다. 이에 = 집(house), 우미 = 바다(sea), 니와 = 정원(garden).","空' reads as そら (sky). いえ=house, うみ=sea, にわ=garden.",「空」读作そら（天空）。いえ=家，うみ=海，にわ=庭院。,「空」讀作そら（天空）。いえ=家，うみ=海，にわ=庭院。,「空（そら）」=sky。うみ（海）・にわ（庭）と区別しましょう。,"空=そら (ciel). いえ=maison, うみ=mer, にわ=jardin.","空=そら (langit). いえ=rumah, うみ=laut, にわ=taman.","空=そら (cielo). いえ=casa, うみ=mar, にわ=jardin.",「空」อ่านว่า そら (ท้องฟ้า) いえ=บ้าน うみ=ทะเล にわ=สวน,"空' doc la そら (bau troi). いえ=nha, うみ=bien, にわ=vuon.",,
せいとは 百人 います。,ひゃくにん,びゃくにん,ひゃくじん,びゃくじん,ひゃくにん,,百人,"‘백’은 햐쿠(100), ‘인’은 인원수로 ‘인’이다. ‘백·백인·백인’은 모두 잘못된 표기입니다.","百=ひゃく(100). 人 as counter=にん. びゃく, ひゃくじん, びゃくじん are all wrong.",「百」读ひゃく(100)，「人」作量词读にん。其余均错误。,「百」讀ひゃく(100)，「人」作量詞讀にん。其餘均錯誤。,「百（ひゃく）」=100。人数のにん(人)と合わせてひゃくにん。,"百=ひゃく(100), 人=にん. びゃく, ひゃくじん, びゃくじん sont incorrects.","百=ひゃく(100), 人=にん. びゃく dll. semuanya salah.","百=ひゃく(100), 人=にん. びゃく etc. son incorrectos.","百=ひゃく(100) 人=にん びゃく, ひゃくじん, びゃくじん ผิดทั้งหมด","百=ひゃく(100), 人=にん. びゃく v.v. deu sai.",,
魚が たくさん いますよ。,ねこ,とり,いぬ,さかな,さかな,,魚,"‘魚’는 ‘사카나(fish)’라고 읽습니다. 猫 = 네코, 鳥 = 토리, 犬 = 이누.","魚 reads as さかな (fish). ねこ=cat, とり=bird, いぬ=dog.",「魚」读作さかな（鱼）。ねこ=猫，とり=鸟，いぬ=狗。,「魚」讀作さかな（魚）。ねこ=貓，とり=鳥，いぬ=狗。,「魚（さかな）」=fish。ねこ・とり・いぬと一緒に覚えましょう。,"魚=さかな (poisson). ねこ=chat, とり=oiseau, いぬ=chien.","魚=さかな (ikan). ねこ=kucing, とり=burung, いぬ=anjing.","魚=さかな (pez). ねこ=gato, とり=pajaro, いぬ=perro.",「魚」อ่านว่า さかな (ปลา) ねこ=แมว とり=นก いぬ=สุนัข,"魚 doc la さかな (ca). ねこ=meo, とり=chim, いぬ=cho.",,
パンを 半分 ともだちに あげました。,はんふん,はんぶん,ほんぶん,ほんふん,はんぶん,,半分,"‘반분’은 ‘한분’이라고 읽습니다. 반=한, 분=분(연탁). 한분·혼분·혼분은 잘못된 표기입니다.","半分 reads as はんぶん (half). 半=はん, 分=ぶん (rendaku). Others are all wrong.",「半分」读作はんぶん（一半）。半=はん，分=ぶん（连浊）。其余均错误。,「半分」讀作はんぶん（一半）。半=はん，分=ぶん（連濁）。其餘均錯誤。,「半分（はんぶん）」。分が連濁してぶんになります。,"半分=はんぶん (moitie). 半=はん, 分=ぶん (rendaku). Les autres sont incorrects.","半分=はんぶん (setengah). 半=はん, 分=ぶん (rendaku). Yang lain salah.","半分=はんぶん (mitad). 半=はん, 分=ぶん (rendaku). Los demas son incorrectos.",「半分」อ่านว่า はんぶん (ครึ่ง) 半=はん 分=ぶん (rendaku) ตัวเลือกอื่นผิด,"半分 doc la はんぶん (mot nua). 半=はん, 分=ぶん (rendaku).",,
ぎんこうと スーパーの 間に ほそい みちが あります。,あいた,となり,あいだ,どなり,あいだ,,間,間'은 '아이다'(between)라고 읽습니다. 'となり' = '隣'(next to). 'A와 B 사이' = 'between A and B'. ‘아이타·도나리’는 잘못된 표현입니다.,間 reads as あいだ (between). となり=next to. AとBの間=between A and B. あいた and どなり are wrong.,「間」读作あいだ（之间）。となり=旁边（紧邻）。AとBの間=A和B之间。,「間」讀作あいだ（之間）。となり=旁邊（緊鄰）。AとBの間=A和B之間。,「間（あいだ）」=between。となり（隣）は「すぐ横」、あいだは「〜と〜の間」に使います。,間=あいだ (entre). となり=a cote. AとBの間=entre A et B.,間=あいだ (di antara). となり=di sebelah. AとBの間=antara A dan B.,間=あいだ (entre). となり=al lado. AとBの間=entre A y B.,「間」อ่านว่า あいだ (ระหว่าง) となり=ข้างๆ AとBの間=ระหว่าง A และ B,間' doc la あいだ (giua). となり=ben canh. AとBの間=giua A va B.,,
