question,option1,option2,option3,option4,answer,audioFileName,startTime,endTime,imageName,scriptKey,script_ko,script_en,script_zh_hans,script_zh_hant,script_ja,script_fr,script_id,script_es,script_th,script_vi
1ばん,アウ,アエ,イウ,イエ,アウ,n4q1_1.m4a,,,audioimage11,,"1번 서점에서 점원과 여성이 대화하고 있습니다. 가게 직원은 무엇을 사용해 그림책을 포장하나요?  M: 어서 오세요. F: 이 그림책을 주세요. 선물이니 깔끔하게 포장해 주시겠어요? M: 네. 포장용 종이는 두 가지가 있습니다. 이 배 그림과 꽃 그림 중 어느 것이 좋을까요? F: 배 그림이 좋습니다. 리본도 달아 주세요. M: 네. 가는 것과 굵은 것이 있는데, 어느 쪽을 선택하시겠어요? F: 그렇네요. 가늘게 만들겠습니다. M: 알겠습니다. 그럼 잠시만 기다려 주세요.  가게 직원은 무엇을 사용해 그림책을 포장하나요","First, a shopkeeper and a woman are talking at the bookstore. What do shopkeepers use to wrap picture books?  M: Welcome. F: Please give me this picture book. It's a gift, so could you wrap it up nicely? M: Yes. There are two types of paper to wrap. Which do you prefer, this ship's picture or the flower picture? F: I like the picture of the ship. Please put a ribbon on it. M: Yes. There are thin ones and thick ones, which one would you like? F: That's right. I'll take a thin one. M: All right. Then, please wait for a moment.  What do shopkeepers use to wrap picture books",,,1番  本屋で店の人と女の人が話しています。 店の人は何を使って絵本を包みますか。  Ｍ：いらっしゃいませ。 Ｆ：この絵本を下さい。贈り物なので、きれいに包んでくれませんか。 Ｍ：はい。包む紙は２種類あります。こちらの船の絵と花の絵とどちらがいいでしょうか。 Ｆ：船の絵がいいです。リボンもつけてください。 Ｍ：はい。細いのと太いのがありますが、どちらにしますか。 Ｆ：そうですね。細いのにします。 Ｍ：分かりました。では、少しお待ちください。  店の人は何を使って絵本を包みますか,,,,,
2ばん,1,2,3,4,3,n4q1_2.m4a,,,audioimage12,,"2번 선생님의 방에서 남학생과 선생님이 대화하고 있습니다. 남학생은 언제까지 책을 반납해야 하나요?  M: 선생님, 이 책을 빌려도 될까요? F: 괜찮아요. M: 언제까지 반환해야 하나요? F: 음, 오늘은 7일이네요. 다음 주 금요일인 23일에 수업에 쓰고 싶으니, 수업 전날까지 반납해 주세요. M: 네. 목요일이네요. F: 아, 죄송합니다. 그 전날까지 부탁드립니다. 다음 주 목요일에는 학교에 오지 않을 거예요. M: 네. 알겠어요。  남학생은 언제까지 책을 반납해야 하나요?","Number 2. A male student and a teacher are talking in your room. By when do male students have to return the book?  M: Doctor, may I borrow this book? F: Sure. M: By when do I have to pay it back? F: Well, today is the 7th. I'd like to use it for class on Friday the 23rd of the week after next, so please return it by the day before class. M: Yes. It's Thursday. F: Oh, I'm sorry. Please do so by the day before that. I won't come to school on Thursday the week after next. M: Yes. I understand.  By when do male students have to return the book?",,,2番  先生の部屋で男の学生と先生が話しています。 男の学生はいつまでに本を返さなければなりませんか。  Ｍ：先生、この本を借りてもいいですか。 Ｆ：いいですよ。 Ｍ：いつまでに返さなければなりませんか。 Ｆ：ええと、今日は七日ですね。再来週の金曜日、23日に授業で使いたいですから、授業の前の日までに返してください。 Ｍ：はい。木曜日ですね。 Ｆ：あ、すみません。その前の日までにお願いします。再来週の木曜日は、学校に来ません。 Ｍ：はい。分かりました。  男の学生はいつまでに本を返さなければなりませんか。,,,,,
3ばん,1,2,3,4,2,n4q1_3.m4a,,,audioimage13,,"3번 일본어 학교에서 선생님이 말하고 있습니다. 유학생은 초등학교에 무엇을 가지고 가야 할까요?  M: 어, 다음 주에 남쪽 초등학교에 가서 아이들에게 종이접기를 배울 거예요. 여러분은 자신의 나라에 대해 사진을 보여 주면서 이야기하겠죠. 사진을 잊지 말아 주세요. 아, 종이접기는 초등학교에 있는 것을 사용합니다. 그리고 초등학교 건물에 들어갈 때는 신발을 벗어야 하니 슬리퍼를 챙겨 주세요. 점심은 필요하지 않습니다. 초등학교가 준비해 줍니다.  유학생은 초등학교에 무엇을 가지고 가야 할까요?","Number 3. The teacher is speaking at the Japanese language school. What do foreign students have to bring to elementary school?  M: Well, I'm going to Minami Elementary School next week and I'm going to learn origami from my children. You all talk about your country while showing your pictures. Don't forget the pictures. Oh, I use origami from elementary school. Also, when you enter the elementary school building, you have to take off your shoes, so please take your slippers with you. I don't need lunch. Elementary school will prepare it for you.  What do foreign students have to bring to elementary school?",,,3番  日本語学校で先生が話しています。 留学生は小学校に何を持っていかなければなりませんか。  Ｍ：えー、来週、みなみ小学校へ行って、折り紙を子供たちに習いますね。皆さんは、自分の国について写真を見せながら話しますね。写真を忘れないようにしてください。あ、折り紙は小学校にあるものを使います。それから、小学校の建物に入るときには、靴を脱がなければなりませんから、スリッパを持っていってください。お昼ごはんは必要ありません。小学校が準備してくれます。  留学生は小学校に何を持っていかなければなりませんか。,,,,,
4ばん,アイウエ,アイウ,イウエ,イウ,イウ,n4q1_4.m4a,,,audioimage14,,"4번 일본어 학교에서 사무실 직원과 남학생이 대화하고 있습니다. 남학생은 무엇을 쓰나요?  F: 김 씨, 안녕하세요. 무슨 일인가요? M: 저기, 지난주에 이사했는데요. F: 그렇군요. 그럼, 이 종이에 이름과 새 주소, 전화번호를 적어 주세요. M: 네. 저기, 전화번호도 적어야 하나요? 바뀐 것은 주소뿐입니다. F: 그럼 전화번호는 괜찮습니다. 그리고, 다음 주에 새로운 반으로 바뀔 예정이니, 쓰지 말아 주세요. M: 네.  남학생은 무엇을 쓰나요?","Number 4 A man and a male student are talking at a Japanese language school. What do male students write?  F: Hello, Mr. Kim. What's the matter? M: Well, I moved last week. F: Really? Then, please write your name, new address, and phone number on this paper. M: Yes. Excuse me, do I have to write down my phone number? The only thing that has changed is the address. F: Well, the phone number is fine. Also, the class will be changed to a new one next week, so please don't write it down. M: Yes.  What do male students write?",,,4番  日本語学校で事務所の人と男の学生が話しています。 男の学生は何を書きますか。  Ｆ：キムさん、こんにちは。どうしましたか。 Ｍ：あの、先週引っ越しをしたんですが。 Ｆ：そうですか。じゃ、この紙に名前と新しい住所と電話番号を書いてください。 Ｍ：はい。あのう、電話番号も書かなければなりませんか。変わったのは住所だけです。 Ｆ：じゃ、電話番号はいいです。それから、クラスは来週新しいクラスに変わりますから、書かないでください。 Ｍ：はい。  男の学生は何を書きますか。,,,,,
5ばん,1,2,3,4,3,n4q5.m4a,,,audioimage15,,"5번 회사에서 여성과 남성이 전화로 대화하고 있습니다. 여성은 어디서 자료를 가져오나요?  F: 네, 스즈키입니다. M: 아, 여보세요. 키무라인데, 미안, 빨리 회의실까지 자료를 가져다 줄 수 있어? F: 네. M: 내 책상 서랍에 들어 있어. F: 네. M: 음, 아마 서랍 아래에서 두 번째 칸에 들어 있는 것 같아. 갈색 봉투에 들어 있으니 바로 알 수 있을 거야. F: 네, 알겠습니다. 아래에서 두 번째에 해당합니다. M: 아, 미안. 그보다 한 단계 위다. F: 네, 서둘러 가져다 드릴게요.  여성은 어디서 자료를 가져오나요?","Number 5 A woman and a man are talking on the phone at the office. Where does the woman bring the materials from?  F: Yes, this is Suzuki. M: Oh, hello. I'm Kimura, I'm sorry, but could you hurry up and bring the materials to the conference room? F: Yes. M: It's in my desk drawer. F: Yes. M: Well, I think it's probably second from the bottom of the drawer. It's in a brown envelope, so you'll find out soon. F: All right. It's the second one from the bottom. M: Oh, sorry. It's one more thing up there. F: Yes, I'll take it quickly.  Where does the woman bring the materials from?",,,5番  会社で女の人と男の人が電話で話しています。 女の人はどこから資料を持っていきますか。  Ｆ：はい、鈴木です。 Ｍ：あ、もしもし。木村だけど、ごめん、急いで会議室まで資料を持ってきてもらえる？ Ｆ：はい。 Ｍ：僕の机の引き出しに入っているんだ。 Ｆ：はい。 Ｍ：ええと、多分、引き出しの下から２番目に入っていると思う。茶色い封筒に入っているからすぐ分かると思うよ。 Ｆ：はい、分かりました。下から２番目ですね。 Ｍ：あ、ごめん。そのもう一つ上だ。 Ｆ：はい、急いで持っていきます。  女の人はどこから資料を持っていきますか。,,,,,
6ばん,1,2,3,4,3,n4q6.m4a,,,audioimage16,,"6번 편의점에서 남자 점원과 여자 점원이 대화하고 있습니다. 여성 점원은 앞으로 무엇을 해야 할까요?  M: 타나카 씨, 수고했어요. 타나카 씨 일은 3시까지라서, 이제 곧 끝날 것 같아. 가게 안 청소는 끝났어? F: 네. M: 가게 앞은 점심에 청소했으니까 아직 깨끗하네. 그럼 마지막으로 쓰레기통에 있는 쓰레기를 가게 뒤쪽으로 가져가. 쓰레기를 두는 곳이 어디인지 알겠어? F: 네. 저기, 죄송한데 아직 창문 청소가 끝나지 않았어요. M: 그건 내가 할 테니까 괜찮아. 그럼, 지금 부탁한 일을 하고 나서 돌아와. F: 네.  여성 점원은 앞으로 무엇을 해야 할까요?","Number 6 A male clerk and a female clerk are talking at a convenience store. What do female clerks have to do now?  M: Mr. Tanaka, thank you. Mr. Tanaka's work is until three o'clock, so it's almost over. Are you done cleaning the store? F: Yes. M: It's still pretty in front of the store because I cleaned it during the day. Finally, take the trash can to the back of the store. Do you know where to leave garbage? F: Yes. Excuse me, I haven't finished cleaning the windows yet. M: I'll do that for you. Then go home after doing what you just asked for. F: Yes.  What do female clerks have to do now?",,,6番  コンビニで男の店員と女の店員が話しています。 女の店員はこれから何をしなければなりませんか。  Ｍ：田中さん、ごくろうさま。田中さんの仕事は３時までだから、そろそろ終わりだね。店の中の掃除は終わった？ Ｆ：はい。 Ｍ：店の前は昼に掃除したからまだきれいだね。じゃ、最後にごみ箱のごみを店の裏に持っていって。ごみを置いておくところは分かる？ Ｆ：はい。あのう、すみません、まだ窓の掃除が終わっていないんです。 Ｍ：それは僕がやるからいいよ。じゃ、今頼んだことをやってから帰ってね。 Ｆ：はい。  女の店員はこれから何をしなければなりませんか。,,,,,
7ばん,えき前の ほんや,大学の 中の ほんや,じむしょ,しょくどうの 前,じむしょ,n4q7.m4a,,,,,"7번 대학에서 교수님이 말씀하고 있습니다. 이 반의 유학생은 어디서 교재를 구입하나요?  M: 이 수업에서는 ‘일본어 1’이라는 교재를 사용합니다. 역 앞 서점이나 대학 안 서점 등에서는 판매하지 않으니, 제가 여러분의 교재를 미리 주문해 두겠습니다. 다음 주 수업 전에 사무실에서 비용을 내고 교재를 받아 주세요. 지금 식당 앞에서도 일본어 교재를 판매하고 있지만, 이 수업에 사용할 것은 없습니다. 비슷한 이름의 텍스트가 있으니, 헷갈리지 않도록 주의해 주세요.  이 반의 유학생은 어디서 교재를 구입하나요?","No.7 The teacher is talking at university. Where do foreign students in this class buy text?  M: In this class, we use the text ""Japanese 1"". We don't sell them at bookstores in front of the station or at bookstores in the university, so I'll ask for your text. Please pay at the office and get a text before next week's class. Japanese text is also sold in front of the restaurant, but there is nothing to be used in this class. There is a text with a similar name, so please don't make a mistake.  Where do foreign students in this class buy text?",,,7番  大学で先生が話しています。 このクラスの留学生はどこでテキストを買いますか。  Ｍ：この授業では「日本語１」というテキストを使います。駅前の本屋や大学の中の本屋などには売っていませんから、私が皆さんのテキストを頼んでおきます。来週の授業の前に、事務所でお金を払って、テキストをもらってください。今、食堂の前でも日本語のテキストを売っていますけれど、この授業で使うものはありません。似ている名前のテキストがありますから、間違えないようにしてください。  このクラスの留学生はどこでテキストを買いますか。,,,,,
8ばん,アイ,アウ,イウ,イ,アイ,n4q8.m4a,,,audioimage17,,"8번 마을 체육관에서 남성과 접수 담당자가 대화하고 있습니다. 남자는 다음 주 일요일에 체육관에 무엇을 가져가야 할까요?  M: 죄송합니다. 다음 주 일요일에 체육관에서 탁구를 하고 싶은데요. F: 네. 탁구는 1인당 2시간, 300엔인데, 몇 시간 하시나요? M: 2시간입니다. F: 여기 이름과 이용 시간란에 2시간이라고 적어 주세요. M: 저기, 오늘 돈을 낼 건가요? F: 아, 이용할 때 부탁드립니다. M: 네. F: 그리고 탁구를 할 때 체육관에서 신는 신발이 필요합니다. 탁구 용품은 여기 있으니 자유롭게 사용하세요. M: 네. 감사합니다。  남자는 다음 주 일요일에 체육관에 무엇을 가져가야 할까요?","A man and a receptionist are talking at a gymnasium in town 8. What should the man bring to the gym next Sunday?  M: I'm sorry. I'd like to play table tennis at the gym next Sunday. F: Yes. Table tennis costs 300 yen for two hours per person. How many hours does it cost? M: Two hours. F: Well, please write your name here and the time you use it for 2 hours. M: Excuse me, are you going to pay today? F: Oh, please do it when you use it. M: Yes. F: And when you play table tennis, you need shoes to wear in the gym. Table tennis tools are here, so please feel free to use them. M: Yes. Thank you.  What should the man bring to the gym next Sunday?",,,8番  町の体育館で男の人と受付の人が話しています。 男の人は、来週の日曜日体育館に何を持ってこなければなりませんか。  Ｍ：すみません。来週の日曜日、体育館で卓球がしたいんですが。 Ｆ：はい。卓球は、一人２時間、300円ですが、何時間しますか。 Ｍ：２時間です。 Ｆ：では、こちらに名前と、利用時間のところに２時間と書いてください。 Ｍ：あのう、お金は今日払いますか。 Ｆ：あ、利用するとき、お願いします。 Ｍ：はい。 Ｆ：それから、卓球をするとき、体育館で履く靴が必要です。卓球の道具はこちらにありますので、自由に使ってください。 Ｍ：はい。ありがとうございます。  男の人は、来週の日曜日体育館に何を持ってこなければなりませんか。,,,,,
1ばん,うみの ちかくで しょくじした,山に のぼった,うみで およいだ,かいがんを さんぽした,うみの ちかくで しょくじした,n4q9.m4a,,,,,"1번 남자와 여자가 대화하고 있습니다. 여성들은 어제 친구와 함께 무엇을 했다고 말하고 있나요?  M: 어제는 날씨가 좋았네요. 어디든 나가셨나요? F: 네, 친구와 바다 근처 가게에 가서 식사를 했어요. 학생 시절에 자주 같이 산에 오르던 친구인데, 오랜만에 만났어요. M: 그럼, 할 말이 많이 있었겠죠. F: 네. 다음에 다시 두 사람 함께 산에 오르기로 했어요. M: 그렇군요. 어제는 더워서 바다에서 수영했나요? F: 아니요. 수영도 하고 해변을 산책하고 싶었는데, 친구에게 일이 생겨서 식사 후 바로 돌아왔어요. 아쉽네요. 여성들은 어제 친구와 함께 무엇을 했다고 말하고 있나요?","The man and the woman are talking the most. What does the woman say she did with her friends yesterday?  M: The weather was nice yesterday, wasn't it? Have you gone somewhere? F: Yes, I went to a store near the sea with my friends and ate. We used to climb mountains together when we were students, but we met for the first time in a while. M: Well, there must have been a lot to talk about. F: Yes. The two of us decided to climb the mountain again next time. [MK] Really? Did you swim in the ocean yesterday because it was hot? F: No. I wanted to swim and take a walk on the beach, but my friend had something to do, so I left right after dinner. That's too bad. What does the woman say she did with her friends yesterday?",,,1番  男の人と女の人が話しています。 女の人は、昨日友達と一緒に何をしたと言っていますか。  Ｍ：昨日はいい天気でしたね。どこかに出掛けましたか。 Ｆ：ええ、友達と海の近くの店に行って、食事をしました。学生のとき、よく一緒に山に登っていた友達なんですが、久しぶりに会ったんです。 Ｍ：じゃ、話すことがたくさんあったでしょう。 Ｆ：ええ。今度また二人で山に登ることにしました。 Ｍ：そうですか。昨日は暑かったから、海で泳いだんですか。 Ｆ：いえ。泳いだり、海岸を散歩したりしたかったんですけど、友達に用事ができてしまって、食事のあと、すぐに帰りました。残念です。  女の人は、昨日友達と一緒に何をしたと言っていますか。,,,,,
2ばん,ジュース,アイスクリーム,キャンディー,クッキー,アイスクリーム,n4q10.m4a,,,,,"2번 교실에서 선생님이 학생들에게 이야기하고 있습니다. 학생들은 공장에서 무엇을 만들고 있을 때 견학을 하나요?  M: 다음 주에 반에서 공장 견학을 갈 예정입니다. 주스로 유명한 회사의 공장이지만, 아이스크림과 캔디, 그리고 쿠키도 만들고 있답니다. 사실 주스를 만들 때 구경하고 싶었지만, 다음 주에는 주스가 만들어지지 않을 것 같아 여러분은 아이스크림을 보게 되었습니다. 견학 후에 쿠키 선물을 받을 수 있다고 합니다.  학생들은 공장에서 무엇을 만들고 있을 때 견학을 하나요?","The teacher is talking to the student in class 2. What do students make in the factory?  M: Next week, I'm going on a class tour of the factory. It is a factory of a company famous for its juice, but they make ice cream, candy, and cookies. Actually, I wanted to see it when I made juice, but I heard that juice is not made next week, so you're going to see ice cream. After the tour, you will receive souvenirs of cookies.  What do students make in the factory?",,,2番  教室で先生が学生に話しています。 学生は、工場で何を作っているときに、見学をしますか。  Ｍ：来週はクラスで工場の見学に行きます。ジュースで有名な会社の工場ですが、アイスクリームやキャンディー、それからクッキーも作っているんですよ。本当はジュースを作るときに見学したかったんですが、来週はジュースは作られていないそうなので、皆さんはアイスクリームを見ることになりました。見学のあと、クッキーのお土産がもらえるそうです。  学生は、工場で何を作っているときに、見学をしますか。,,,,,
