question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi,passage_group ,sub_question 
"__のことばの読み方として最もよいものを、一つえらびなさい。
先生に貴重な資料を見せていただいた。",きじゅう,きちょう,きっじゅう,きっちょう,きちょう,,貴,『貴重』は『きちょう』。促音や誤読の選択肢に注意。,貴重 reads きちょう (valuable). Watch for incorrect gemination.,「貴重」读作きちょう（珍贵）。注意误读/促音。,「貴重」讀作きちょう（珍貴）。注意誤讀/促音。,「貴重」は『きちょう』が正しい。,«貴重» se lit きちょう (précieux).,«貴重» dibaca きちょう (berharga).,«貴重» se lee きちょう (valioso).,「貴重」อ่านว่า きちょう (มีค่า),"貴重"" đọc là きちょう (quý giá).""重",,
その話を聞いて、とても怪しいと思った。,むなしい,くやしい,おかしい,あやしい,あやしい,,怪,文脈は『怪しい=あやしい』（不審だ）。,Context suggests あやしい (suspicious).,语境为『怪しい=あやしい』（可疑）。,語境為『怪しい=あやしい』（可疑）。,『怪しい』は『あやしい』。,«怪しい» = あやしい (suspect).,«怪しい» = あやしい (mencurigakan).,«怪しい» = あやしい (sospechoso).,「怪しい」= あやしい (น่าสงสัย),"怪しい"" = あやしい (đáng ngờ).""しい",,
佐藤さんは容姿も性格もいい。,よし,ようし,ようす,よす,ようし,,容姿,『容姿』=ようし（見た目）。ようす(様子)と混同注意。,"容姿 reads ようし (appearance), not ようす.",「容姿」=ようし（外貌）。勿与ようす混淆。,「容姿」=ようし（外貌）。ようすと混同注意。,『容姿』は『ようし』。,«容姿» = ようし (apparence).,«容姿» = ようし (penampilan).,«容姿» = ようし (apariencia).,「容姿」= ようし (รูปลักษณ์),容姿 = ようし (diện mạo).,,
これは危険を伴う実験だ。,はらう,あつかう,ともなう,すくう,ともなう,,伴う,危険を『伴う』実験=ともなう。,ともなう = to accompany (entail) risk.,『伴う』=ともなう（伴随）。,『伴う』=ともなう（伴隨）。,『伴う』は『ともなう』。,«伴う» = ともなう (accompagner).,«伴う» = ともなう (menyertai).,«伴う» = ともなう (conllevar).,「伴う」= ともなう (พ่วง/มาพร้อม),伴う = ともなう (kèm theo).,,
以前は、海外で暮らしたいという願望が強かった。,がんぼう,げんぼう,がんぼ,げんぼ,がんぼう,,願望,『願望』=がんぼう（願いの強さ）。,願望 reads がんぼう (desire).,『願望』读作がんぼう。,『願望』讀作がんぼう。,『願望』は『がんぼう』。,«願望» = がんぼう (désir).,«願望» = がんぼう (keinginan).,«願望» = がんぼう (deseo).,「願望」= がんぼう (ความปรารถนา),願望 = がんぼう (nguyện vọng).,,
__の言葉を漢字で書くとき、最もよいものを一つ選びなさい。友人を家にまねいた。,伯いた,招いた,泊いた,召いた,招いた,,まねいた,『まねく』は『招く』→過去形『招いた』。,Invite = 招く; past 招いた.,「招く」→「招いた」。,「招く」→「招いた」。,『招いた』が正しい。,Inviter = 招く → 招いた.,Mengundang = 招く → 招いた.,Invitar = 招く → 招いた.,เชิญ = 招く → 招いた,Mời = 招く → 招いた.,,
この商品は安全性がほしょうされている。,補証,保正,保証,補正,保証,,ほしょう,安全性は『保証』が自然。補正/保正は意味違い。,Safety is 保証 (guarantee).,安全性→『保証』。其他选项义不同。,安全性→『保証』。其他選項義不同。,『保証』が最適。,Garantie = 保証.,Jaminan = 保証.,Garantía = 保証.,ความปลอดภัย → 保証,An toàn → 保証.,,
この企業では、さまざまなもよおしを行っている。,携し,催し,推し,権し,催し,,もよおし,イベント=『催し』。,Event = 催し.,活动=『催し』。,活動=『催し』。,『催し』が適切。,Événement = 催し.,Acara = 催し.,Evento = 催し.,งาน/กิจกรรม = 催し,Sự kiện = 催し.,,
通路に荷物を置いたら、通る人の（ ）になりますよ。,面倒,邪魔,被害,無理,邪魔,,邪魔,通路の荷物は『邪魔』になる。,Baggage in aisle → obstruction (邪魔).,过道放行李→妨碍(邪魔)。,走道放行李→妨礙(邪魔)。,『邪魔』=妨げ。,Gêne = 邪魔.,Mengganggu = 邪魔.,Obstáculo = 邪魔.,กีดขวาง = 邪魔,Cản trở = 邪魔.,,
少し長めの上り坂だったが（ ）ので、それほど疲れなかった。,おとなしかった,ささやかだった,なだらかだった,よわよわしかった,なだらかだった,,なだらか,傾斜が『なだらか』=緩やか。,Gentle slope = なだらか.,坡度缓=なだらか。,坡度緩=なだらか。,『なだらか』が適切。,En pente douce = なだらか.,Landai = なだらか.,Suave = なだらか.,ลาดชันน้อย = なだらか,Dốc thoai thoải = なだらか.,,
