question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi
去年より利益がわずかに増えた。,りし,りぞく,りえき,りじゅん,りえき,,利益,『利益』の読みは『りえき』。りし=利子(interest)、りぞく=利殖、りじゅん=利潤。,"The correct reading is りえき (profit). りし=interest, りぞく=wealth growth, りじゅん=profit margin.",正确读音是『りえき』（利润）。りし=利息，りぞく=利殖，りじゅん=利润。,正確讀音為『りえき』（利益）。りし=利息，りぞく=利殖，りじゅん=利潤。,『利益』は『りえき』と読む。りし/りぞく/りじゅんは別語。,"Lecture correcte: りえき (bénéfice). りし=intérêt, りぞく=accroissement de richesse, りじゅん=marge de profit.","Bacaan benar: りえき (laba). りし=bunga, りぞく=akumulasi kekayaan, りじゅん=keuntungan.","Lectura correcta: りえき (beneficio). りし=interés, りぞく=incremento de riqueza, りじゅん=beneficio.",การอ่านที่ถูกต้องคือ りえき (กำไร) りし=ดอกเบี้ย りぞく=สะสมทรัพย์ りじゅん=กำไร,"Cách đọc đúng: りえき (lợi ích/lợi nhuận). りし=lãi, りぞく=tích lũy tài sản, りじゅん=lợi nhuận.益"
橋本選手の活躍で、なんとかピンチを逃れた。,のがれた,はなれた,それた,まぬがれた,のがれた,,逃れた,文脈は『ピンチを逃れる＝のがれる』。はなれる=離れる/距離、それる=逸れる、まぬがれる=免れる(構文が不自然)。,"Context requires のがれる (to escape a pinch). はなれる=to leave, それる=to deviate, まぬがれる=to avoid but doesn’t fit this set phrase.",语境用『のがれる』（摆脱困境）。はなれる=离开，それる=偏离，まぬがれる=免于(搭配不自然)。,此處用『のがれる』（擺脫危機）。はなれる=離開，それる=偏離，まぬがれる=免於(搭配不自然)。,定型表現『ピンチを逃れる』の読みは『のがれる』。,Expression figée: ピンチを逃れる se lit のがれる.,Ungkapan tetap: ピンチを逃れる dibaca のがれる.,Expresión fija: ピンチを逃れる se lee のがれる.,สำนวนคงที่: ピンチを逃れる อ่านว่า のがれる,Cụm cố định: ピンチを逃れる đọc là のがれる.れた
物置の隅で、ほこり（）になっている古い人形を見つけた。,ぐるみ,がらみ,まみれ,ずくめ,まみれ,,,『ほこりまみれ』=ほこりでいっぱいに覆われた状態。ぐるみ=丸ごと、がらみ=絡み、ずくめ=〜ばかり。,"Use まみれ for being covered in dust. ぐるみ=entirely, がらみ=entangled/related, ずくめ=all/entirely.",用『まみれ』表示满是灰尘。ぐるみ=整体，がらみ=牵连/缠绕，ずくめ=尽是。,用『まみれ』表示佈滿灰塵。ぐるみ=整個，がらみ=牽連，ずくめ=盡是。,『ほこりまみれ』が慣用。ほこりずくめ/がらみ/ぐるみは不自然。,On dit 慣用『ほこりまみれ』. Les autres ne conviennent pas ici.,Bentuk baku: ほこりまみれ. Yang lain tidak sesuai konteks.,Se usa まみれ para cubierto de polvo. Otros no encajan.,ใช้ まみれ เมื่อติดฝุ่นทั่วตัว คำอื่นไม่ตรงบริบท,Dùng まみれ để chỉ bị phủ đầy bụi. Các lựa chọn khác không phù hợp.れ
木村さんとは共通の趣味があるので、いつも会話が（ ）。,舞う,弾む,転がる,跳ねる,弾む,,,『会話が弾む』=話が盛り上がる。舞う=舞踊、転がる=物が転がる、跳ねる=跳躍。,Set phrase: 会話が弾む (conversation lively). Others don’t collocate.,固定搭配『会話が弾む』（谈话热络）。其他不搭。,慣用『会話が弾む』（談話熱絡）。其他不搭。,定型のコロケーションは『会話が弾む』。,Collocation naturel: 会話が弾む.,Kolokasi baku: 会話が弾む.,Colocación fija: 会話が弾む.,สำนวน: 会話が弾む = คุยถูกคอ,Cụm cố định: 会話が弾む = câu chuyện rôm rả.弾む
この映画は画期的な手法で製作された。,計画して,果たして,開始して,あきらめて,計画して,,画期的,『画期的』=今までになく新しい/革新的。,画期的 means unprecedentedly new/innovative.,『画期的』=前所未有的新/创新。,『畫期的』=前所未有的新/創新。,『画期的』は従来にない新しさ。,«画期的» = inédit/innovant.,«画期的» = baru dan inovatif.,"«画期的» = innovador, sin precedentes.",«画期的» = ใหม่แบบไม่เคยมีมาก่อน,«画期的» = mới mẻ/chưa từng có.
あの企業は海外市場への進出をもくろんでいる。,広く知られている,最近ではめずらしい,非常に時間がかかる,今までになく新しい,今までになく新しい,,もくろんで,『もくろむ』=計画する/企む。果たして=as expected、開始して=start、あきらめて=give up。,もくろむ means to plan/scheme. Other options don’t match.,『もくろむ』=计划/策划。其他选项不符。,『もくろむ』=計畫/策劃。其他選項不合。,『もくろむ』は『計画する』に同義。,«もくろむ» = planifier/tramer.,«もくろむ» = merencanakan/merancang.,«もくろむ» = planear/tramar.,«もくろむ» = วางแผน/คิดการ,«もくろむ» = lên kế hoạch/âm mưu.
"次の言葉の使い方として最もよいもの\nを選びなさい。
連携",学校は地域と連携して生徒の安全を守っている。,複数の社員で一台のプリンターを連携して使っている。,最近の株価は、為替レートと連携して上下している。,登山のときには、必ず地図を連携してください。,学校は地域と連携して生徒の安全を守っている。,,不服,『連携』=協力して物事を進めること。学校と地域の協力が自然。,連携 means coordinated cooperation; school and community working together fits best.,『連携』=协同合作；学校与社区合作最自然。,『連携』=協同合作；學校與社區合作最自然。,『連携』は協力・連動の意。,«連携» = coopération/coordination.,«連携» = kolaborasi/koordinasi.,«連携» = coordinación/colaboración.,«連携» = ความร่วมมือ/ประสานงาน,«連携» = phối hợp/hợp tác.
"次の言葉の使い方として最もよ\nいものを選びなさい。
不服",彼の失礼な態度は、そこにいた人々の不服を買った。,カラオケで思い切り歌って、日ごろの不服を晴らそう。,審判の判定に不服を唱えることはできない。,この部署で、お客様からの不服を受け付けています。,審判の判定に不服を唱えることはできない。,,,『不服』=納得できず異議を唱えること。審判の判定に不服を唱える、が定型。,不服 means objection/dissatisfaction; lodging an objection to a referee’s call is standard.,『不服』=不服气/异议；对裁判判定提出异议用法固定。,『不服』=不服氣/異議；對裁判判定提出異議是慣用。,『不服を唱える』が定型表現。,«不服を唱える» est l’expression figée.,Ungkapan baku: 不服を唱える.,Expresión fija: 不服を唱える.,สำนวนตายตัว: 不服を唱える,Cụm cố định: 不服を唱える.ことはできない。
人気作家A氏の講演会が無料（ ）、多くのファンが詰めかけた。,にして,にあって,とし,とあって,とあって,,,『〜とあって』=特別な事情で=だから。無料という特別条件で多く集まった。,〜とあって indicates a special circumstance; being free drew many fans.,『〜とあって』表示特殊情况；因免费而人多。,『〜とあって』表示特殊情況；因免費而人多。,『無料とあって』=無料という事情で。,«〜とあって» = circonstance spéciale causale.,«〜とあって» = keadaan khusus → sebab.,«〜とあって» = circunstancia especial causal.,«〜とあって» = เพราะเป็นกรณีพิเศษ,«〜とあって» = vì là hoàn cảnh đặc biệt.て
都会から田舎に移り住んだ人の話を聞く（ ）、『田舎は人を癒す力を持っている』とつくづく感じる。,につけ,なり,とは,に,に,,,『〜にしてみると』=その立場から考えると。移住者の立場からの実感。,"にしてみると means from that person’s standpoint; here, from those who moved.",『〜にしてみると』=从其立场看；从移居者立场的感受。,『〜にしてみると』=從其立場看；移居者的感受。,立場を示す『〜にしてみると』が適切。,Marque le point de vue: «〜にしてみると».,Menandai sudut pandang: «〜にしてみると».,Marca el punto de vista: «〜にしてみると».,แสดงมุมมองของผู้พูด: «〜にしてみると»,Chỉ quan điểm: «〜にしてみると».してみると
