"question","option1","option2","option3","option4","answer","imageName","underline","explanation_ko","explanation_en","explanation_zh_hans","explanation_zh_hant","explanation_ja","explanation_fr","explanation_id","explanation_es","explanation_th","explanation_vi"
"__のことばはひらがなでどうかきますか。いちばんいいものをひとつえらんでください。\nくつに石が入っていました。","いし","すな","くさ","えだ","いし","","石","「石」는 いし(돌)라고 읽습니다. すな=砂(모래), くさ=草(풀), えだ=枝(나뭇가지). 자연 관련 어휘를 함께 외워두세요.","石 reads as いし (stone). すな=sand, くさ=grass, えだ=branch.","「石」读作いし（石头）。すな=沙，くさ=草，えだ=树枝。","「石」讀作いし（石頭）。すな=沙，くさ=草，えだ=樹枝。","「石」はいし(stone)。すな(砂)・くさ(草)・えだ(枝)と一緒に覚えましょう。","石=いし (pierre). すな=sable, くさ=herbe, えだ=branche.","石=いし (batu). すな=pasir, くさ=rumput, えだ=ranting.","石=いし (piedra). すな=arena, くさ=hierba, えだ=rama.","「石」อ่านว่า いし (หิน) すな=ทราย くさ=หญ้า えだ=กิ่งไม้","石 doc la いし (da). すな=cat, くさ=co, えだ=canh cay."
"にほんでいろいろな経験をしました。","けいけん","けいげん","けけん","けげん","けいけん","","経験","「経験」는 けいけん(경험)이라고 읽습니다. 経=けい, 験=けん. 「けいげん」「けけん」「けげん」은 모두 잘못된 읽기입니다.","経験 reads as けいけん (experience). 経=けい, 験=けん. All other options are wrong readings.","「経験」读作けいけん（经验）。経=けい，験=けん。其余均错误。","「経験」讀作けいけん（經驗）。経=けい，験=けん。其餘均錯誤。","「経験」はけいけん。経(けい)+験(けん)の組み合わせ。他の読みは誤りです。","経験=けいけん (experience). 経=けい, 験=けん. Les autres sont incorrects.","経験=けいけん (pengalaman). 経=けい, 験=けん. Yang lain salah.","経験=けいけん (experiencia). 経=けい, 験=けん. Los demas son incorrectos.","「経験」อ่านว่า けいけん (ประสบการณ์) 経=けい 験=けん ตัวเลือกอื่นผิดทั้งหมด","経験 doc la けいけん (kinh nghiem). 経=けい, 験=けん."
"店員にトイレがどこにあるか聞きました","てにん","てんにん","ていん","てんいん","てんいん","","店員","「店員」는 てんいん(점원)이라고 읽습니다. 店=てん, 員=いん. 「てにん」「てんにん」「ていん」은 잘못된 읽기입니다.","店員 reads as てんいん (store clerk). 店=てん, 員=いん. Other options are wrong.","「店員」读作てんいん（店员）。店=てん，員=いん。其余均错误。","「店員」讀作てんいん（店員）。店=てん，員=いん。其餘均錯誤。","「店員」はてんいん。店(てん)+員(いん)。他の読みは誤りです。","店員=てんいん (employe de magasin). 店=てん, 員=いん.","店員=てんいん (pegawai toko). 店=てん, 員=いん.","店員=てんいん (empleado de tienda). 店=てん, 員=いん.","「店員」อ่านว่า てんいん (พนักงานร้าน) 店=てん 員=いん","店員 doc la てんいん (nhan vien cua hang). 店=てん, 員=いん."
"きょうは食堂がこんでいました。","しゅくど","しょくどう","しょくど","しゅくどう","しょくどう","","食堂","「食堂」는 しょくどう(식당)라고 읽습니다. 食=しょく, 堂=どう. 「しゅく」는 잘못된 읽기이며, 「どう」의 장음(う)을 빠뜨리지 않도록 주의하세요.","食堂 reads as しょくどう (cafeteria/dining hall). 食=しょく, 堂=どう. しゅく is wrong; note the long vowel う in どう.","「食堂」读作しょくどう（食堂）。食=しょく，堂=どう。注意长音う不能省略。","「食堂」讀作しょくどう（食堂）。食=しょく，堂=どう。注意長音う不能省略。","「食堂」はしょくどう。食(しょく)+堂(どう)。しゅくは誤り。どうの長音うを忘れずに。","食堂=しょくどう (cantine). 食=しょく, 堂=どう. Attention au う long.","食堂=しょくどう (kantin). 食=しょく, 堂=どう. Perhatikan vokal panjang う.","食堂=しょくどう (comedor). 食=しょく, 堂=どう. Atencion a la vocal larga う.","「食堂」อ่านว่า しょくどう (โรงอาหาร) 食=しょく 堂=どう ระวังเสียงยาว う","食堂 doc la しょくどう (can tin). 食=しょく, 堂=どう."
"このまどから港が見えます。","うみ","みなと","みずうみ","いけ","みなと","","港","「港」는 みなと(항구)라고 읽습니다. うみ=海(바다), みずうみ=湖(호수), いけ=池(연못). 항구는 みなと입니다.","港 reads as みなと (harbor/port). うみ=sea, みずうみ=lake, いけ=pond.","「港」读作みなと（港口）。うみ=海，みずうみ=湖，いけ=池。","「港」讀作みなと（港口）。うみ=海，みずうみ=湖，いけ=池。","「港（みなと）」=harbor。うみ(海)・みずうみ(湖)・いけ(池)と区別しましょう。","港=みなと (port). うみ=mer, みずうみ=lac, いけ=etang.","港=みなと (pelabuhan). うみ=laut, みずうみ=danau, いけ=kolam.","港=みなと (puerto). うみ=mar, みずうみ=lago, いけ=estanque.","「港」อ่านว่า みなと (ท่าเรือ) うみ=ทะเล みずうみ=ทะเลสาบ いけ=บ่อน้ำ","港 doc la みなと (cang). うみ=bien, みずうみ=ho, いけ=ao."
"この小説はおもしろかったです。","しょせつ","しょぜつ","しょうせつ","しょうぜつ","しょうせつ","","小説","「小説」는 しょうせつ(소설)라고 읽습니다. 小=しょう(장음), 説=せつ. 「しょせつ」는 장음(う)이 빠진 잘못된 읽기입니다.","小説 reads as しょうせつ (novel). 小=しょう (long vowel), 説=せつ. しょせつ is wrong (missing long vowel).","「小説」读作しょうせつ（小说）。小=しょう（长音），説=せつ。しょせつ缺少长音，是错误的。","「小説」讀作しょうせつ（小說）。小=しょう（長音），説=せつ。しょせつ缺少長音，是錯誤的。","「小説」はしょうせつ。小(しょう=長音あり)+説(せつ)。しょせつは誤り。","小説=しょうせつ (roman). 小=しょう (voyelle longue), 説=せつ. しょせつ est incorrect.","小説=しょうせつ (novel). 小=しょう (vokal panjang), 説=せつ. しょせつ salah.","小説=しょうせつ (novela). 小=しょう (vocal larga), 説=せつ. しょせつ es incorrecto.","「小説」อ่านว่า しょうせつ (นิยาย) 小=しょう (เสียงยาว) 説=せつ しょせつ ผิด","小説 doc la しょうせつ (tieu thuyet). 小=しょう (nguyen am dai), 説=せつ."
"まいばん日記を書いています。","にっき","にちき","にっきい","にちきい","にっき","","日記","「日記」는 にっき(일기)라고 읽습니다. 日=にち→にっ(촉음화), 記=き. 「にちき」는 촉음(っ)이 없어서 잘못된 읽기입니다.","日記 reads as にっき (diary). 日=にち→にっ (small っ), 記=き. にちき is wrong (missing っ).","「日記」读作にっき（日记）。日=にち→にっ（促音），記=き。にちき缺少促音っ，是错误的。","「日記」讀作にっき（日記）。日=にち→にっ（促音），記=き。にちき缺少促音っ，是錯誤的。","「日記」はにっき。日(にち→にっ、促音化)+記(き)。にちきは誤り。","日記=にっき (journal). 日=にち→にっ (petite っ), 記=き. にちき est incorrect.","日記=にっき (diari). 日=にち→にっ (っ kecil), 記=き. にちき salah.","日記=にっき (diario). 日=にち→にっ (pequeña っ), 記=き. にちき es incorrecto.","「日記」อ่านว่า にっき (ไดอารี่) 日=にち→にっ (っ ตัวเล็ก) 記=き にちき ผิด","日記 doc la にっき (nhat ky). 日=にち→にっ (っ nho), 記=き."
"夕方、雨がふりました","ゆうほう","ゆうがた","ゆほう","ゆがた","ゆうがた","","夕方","「夕方」는 ゆうがた(저녁 무렵)라고 읽습니다. 夕=ゆう(장음), 方=がた. 「ゆほう」「ゆがた」는 장음(う)이 빠진 잘못된 읽기입니다.","夕方 reads as ゆうがた (evening/dusk). 夕=ゆう (long vowel), 方=がた. ゆほう and ゆがた miss the long vowel.","「夕方」读作ゆうがた（傍晚）。夕=ゆう（长音），方=がた。ゆほう和ゆがた缺少长音，是错误的。","「夕方」讀作ゆうがた（傍晚）。夕=ゆう（長音），方=がた。ゆほう和ゆがた缺少長音，是錯誤的。","「夕方」はゆうがた。夕(ゆう=長音)+方(がた)。ゆほう・ゆがたは誤り。","夕方=ゆうがた (soir/crepuscule). 夕=ゆう (voyelle longue), 方=がた.","夕方=ゆうがた (sore hari/senja). 夕=ゆう (vokal panjang), 方=がた.","夕方=ゆうがた (tarde/atardecer). 夕=ゆう (vocal larga), 方=がた.","「夕方」อ่านว่า ゆうがた (เวลาเย็น/พลบค่ำ) 夕=ゆう (เสียงยาว) 方=がた","夕方 doc la ゆうがた (buoi chieu/hoang hon). 夕=ゆう (nguyen am dai), 方=がた."
"__の ことばは どう かきますか。いちばん いい ものを ひとつ えらんで ください。\nすずきさんはあおいシャツをきています。","青い","黒い","赤い","白い","青い","","あおい","「あおい」는 「青い」(파란)이라고 씁니다. 黒い=くろい(검정), 赤い=あかい(빨강), 白い=しろい(하양). 색상 어휘를 함께 외워두세요.","あおい is written 青い (blue). 黒い=black, 赤い=red, 白い=white.","「あおい」写作「青い」（蓝色的）。黒い=黑，赤い=红，白い=白。","「あおい」寫作「青い」（藍色的）。黒い=黑，赤い=紅，白い=白。","「あおい」=青い(blue)。黒い(くろい)・赤い(あかい)・白い(しろい)と一緒に覚えましょう。","あおい s'ecrit 青い (bleu). 黒い=noir, 赤い=rouge, 白い=blanc.","あおい ditulis 青い (biru). 黒い=hitam, 赤い=merah, 白い=putih.","あおい se escribe 青い (azul). 黒い=negro, 赤い=rojo, 白い=blanco.","「あおい」เขียนว่า 青い (สีฟ้า/สีน้ำเงิน) 黒い=ดำ 赤い=แดง 白い=ขาว","あおい viet la 青い (mau xanh). 黒い=den, 赤い=do, 白い=trang."
"わたしのいえはえきからあるいて5分です。","走いて","走って","歩いて","歩って","歩いて","","あるいて","「あるいて」는 「歩いて」(걸어서)라고 씁니다. 歩く(あるく)의 て형은 歩いて. 「走って」는 はしって(달려서)이며 다른 동사입니다.","あるいて is written 歩いて (walking). 歩く te-form=歩いて. 走って=はしって (running), a different verb.","「あるいて」写作「歩いて」（步行）。歩く的て形是歩いて。走って=はしって（跑），是不同的动词。","「あるいて」寫作「歩いて」（步行）。歩く的て形是歩いて。走って=はしって（跑），是不同的動詞。","「あるいて」=歩いて。歩く(あるく)のて形は歩いて。走って(はしって)は別の動詞。","あるいて s'ecrit 歩いて (a pied). 歩く te: 歩いて. 走って=はしって (en courant).","あるいて ditulis 歩いて (berjalan). Bentuk te 歩く: 歩いて. 走って=はしって (berlari).","あるいて se escribe 歩いて (caminando). Forma te 歩く: 歩いて. 走って=はしって (corriendo).","「あるいて」เขียนว่า 歩いて (เดิน) รูปて ของ 歩く คือ 歩いて 走って=はしって (วิ่ง)","あるいて viet la 歩いて (di bo). Dang te 歩く: 歩いて. 走って=はしって (chay)."
