"question","option1","option2","option3","option4","answer","imageName","underline","explanation_ko","explanation_en","explanation_zh_hans","explanation_zh_hant","explanation_ja","explanation_fr","explanation_id","explanation_es","explanation_th","explanation_vi"
"__のことばの読み方として最もよいものを一つえらびなさい。日本の首都はどこですか。","しゅとう","しゅうと","しゅと","しゅうとう","しゅと","","首都","「首都」는 しゅと(수도)로 읽습니다. 首=しゅ, 都=と. 「しゅとう」「しゅうと」「しゅうとう」는 장음이 잘못 들어간 오답입니다. 일본의 수도는 도쿄(東京)입니다.","'首都' reads as しゅと (capital city). 首=しゅ, 都=と. しゅとう/しゅうと/しゅうとう all incorrectly add a long vowel. Japan's capital is Tokyo.","「首都」读作しゅと（首都）。首=しゅ，都=と。其余选项错误地加了长音。日本首都是东京。","「首都」讀作しゅと（首都）。首=しゅ，都=と。其餘選項錯誤地加了長音。日本首都是東京。","「首都」はしゅと。首(しゅ)+都(と)。長音を入れた他の選択肢はすべて誤りです。","首都=しゅと (capitale). 首=しゅ, 都=と. Les autres options ajoutent incorrectement une voyelle longue.","首都=しゅと (ibu kota). 首=しゅ, 都=と. Pilihan lain salah menambahkan vokal panjang.","首都=しゅと (capital). 首=しゅ, 都=と. Las demás opciones añaden incorrectamente una vocal larga.","「首都」อ่านว่า しゅと (เมืองหลวง) 首=しゅ 都=と ตัวเลือกอื่นเพิ่มเสียงยาวผิด","首都 doc la しゅと (thu do). 首=しゅ, 都=と. Cac lua chon khac them nguyen am dai sai."
"地球は太陽のまわりを回っている。","じきゅう","ちきゅう","じきゅ","ちきゅ","ちきゅう","","地球","「地球」는 ちきゅう(지구)로 읽습니다. 地=ち, 球=きゅう(장음). 「じきゅう」는 地를 じ로 잘못 읽은 것이고, 「ちきゅ」「じきゅ」는 장음(う)이 빠진 오답입니다.","'地球' reads as ちきゅう (Earth). 地=ち, 球=きゅう (long vowel). じきゅう misreads 地 as じ; ちきゅ/じきゅ omit the long vowel.","「地球」读作ちきゅう（地球）。地=ち，球=きゅう（长音）。じきゅう是地读错了；ちきゅ/じきゅ缺少长音。","「地球」讀作ちきゅう（地球）。地=ち，球=きゅう（長音）。じきゅう是地讀錯了；ちきゅ/じきゅ缺少長音。","「地球」はちきゅう。地(ち)+球(きゅう=長音)。じきゅうは地の読みが誤り。ちきゅはきゅうの長音が抜けた誤り。","地球=ちきゅう (Terre). 地=ち, 球=きゅう (longue). じきゅう lit mal 地; ちきゅ/じきゅ omettent la voyelle longue.","地球=ちきゅう (Bumi). 地=ち, 球=きゅう (panjang). じきゅう salah baca 地; ちきゅ/じきゅ hilang vokal panjang.","地球=ちきゅう (Tierra). 地=ち, 球=きゅう (larga). じきゅう lee mal 地; ちきゅ/じきゅ omiten vocal larga.","「地球」อ่านว่า ちきゅう (โลก) 地=ち 球=きゅう (เสียงยาว) じきゅう อ่าน地ผิด ちきゅ/じきゅ ขาดเสียงยาว","地球 doc la ちきゅう (Trai Dat). 地=ち, 球=きゅう (dai). じきゅう doc sai 地; ちきゅ/じきゅ thieu nguyen am dai."
"__のことばを漢字で書くとき、最もよいものを、一つえらびなさい。みんなで話し合って、問題をかいけつした","改決","改結","解決","解結","解決","","かいけつ","「かいけつ」는 「解決」(해결)로 씁니다. 解=かい(풀다), 決=けつ(결정하다). 「改」는 「あらためる」(고치다), 「結」는 「むすぶ」(맺다)로 의미가 다릅니다.","かいけつ is written 解決 (resolution/solve). 解=かい(solve), 決=けつ(decide). 改=reform, 結=tie/conclude — different meanings.","「かいけつ」写作「解決」（解决）。解=かい（解开），決=けつ（决定）。改=改变，結=结合，意思不同。","「かいけつ」寫作「解決」（解決）。解=かい（解開），決=けつ（決定）。改=改變，結=結合，意思不同。","「かいけつ」=解決。解(かい=解く)+決(けつ=決める)。改はあらためる、結はむすぶで意味が異なります。","かいけつ s'écrit 解決 (résoudre). 解=かい(résoudre), 決=けつ(décider). 改=réformer, 結=lier — sens différents.","かいけつ ditulis 解決 (memecahkan). 解=かい(memecahkan), 決=けつ(memutuskan). 改=mereformasi, 結=mengikat.","かいけつ se escribe 解決 (resolver). 解=かい(resolver), 決=けつ(decidir). 改=reformar, 結=atar.","「かいけつ」เขียนว่า 解決 (แก้ไข/แก้ปัญหา) 解=かい(แก้) 決=けつ(ตัดสิน) 改=ปฏิรูป 結=ผูก","かいけつ viet la 解決 (giai quyet). 解=かい(giai), 決=けつ(quyet). 改=cai cach, 結=ket hop."
"わたしはけんこうのために毎日走っています","健康","建康","健庫","建庫","健康","","けんこう","「けんこう」는 「健康」(건강)으로 씁니다. 健=けん(건강하다), 康=こう(편안하다). 「建」는 「たてる」(짓다), 「庫」는 「くら」(창고)로 의미가 다릅니다.","けんこう is written 健康 (health). 健=けん(healthy), 康=こう(at ease). 建=build, 庫=warehouse — different meanings.","「けんこう」写作「健康」（健康）。健=けん（健康），康=こう（安康）。建=建造，庫=仓库，意思不同。","「けんこう」寫作「健康」（健康）。健=けん（健康），康=こう（安康）。建=建造，庫=倉庫，意思不同。","「けんこう」=健康。健(けん=健やか)+康(こう=安らか)。建はたてる、庫はくら(倉庫)で別の漢字。","けんこう s'écrit 健康 (santé). 健=けん(en bonne santé), 康=こう(serein). 建=construire, 庫=entrepôt.","けんこう ditulis 健康 (kesehatan). 健=けん(sehat), 康=こう(tenteram). 建=membangun, 庫=gudang.","けんこう se escribe 健康 (salud). 健=けん(sano), 康=こう(sereno). 建=construir, 庫=almacén.","「けんこう」เขียนว่า 健康 (สุขภาพ) 健=けん(แข็งแรง) 康=こう(สบาย) 建=สร้าง 庫=โกดัง","けんこう viet la 健康 (suc khoe). 健=けん(khoe manh), 康=こう(binh an). 建=xay dung, 庫=kho."
"( )に入れるのに最もよいものを、一つえらびなさい。優勝した選手に（）をして記事を書いた。","スピーチ","インタビュー","メッセージ","コミュニケーション","インタビュー","","","우승 선수에게 취재해서 기사를 쓴다는 문맥. 「インタビュー=인터뷰(취재)」가 정답. スピーチ=연설(자신이 하는 것), メッセージ=메시지, コミュニケーション=소통.","Interviewed the winning athlete to write an article -> インタビュー (interview). スピーチ=speech (one gives), メッセージ=message, コミュニケーション=communication.","对优胜选手采访后写文章→インタビュー（采访/访谈）。スピーチ=演讲（自己发表），メッセージ=信息，コミュニケーション=沟通。","對優勝選手採訪後寫文章→インタビュー（採訪/訪談）。スピーチ=演講（自己發表），メッセージ=訊息，コミュニケーション=溝通。","優勝選手に取材して記事を書く→インタビュー(interview)が正解。スピーチは自分が話すもの。メッセージ・コミュニケーションは文脈に合いません。","Interviewé le champion pour écrire un article -> インタビュー (interview). スピーチ=discours, メッセージ=message, コミュニケーション=communication.","Mewawancarai atlet juara untuk menulis artikel -> インタビュー (wawancara). スピーチ=pidato, メッセージ=pesan, コミュニケーション=komunikasi.","Entrevistó al campeón para escribir un artículo -> インタビュー (entrevista). スピーチ=discurso, メッセージ=mensaje, コミュニケーション=comunicación.","สัมภาษณ์แชมป์เพื่อเขียนบทความ → インタビュー (สัมภาษณ์) スピーチ=演讲 メッセージ=ข้อความ コミュニケーション=การสื่อสาร","Phong van nha vo dich de viet bai -> インタビュー (phong van). スピーチ=演说, メッセージ=tin nhan, コミュニケーション=giao tiep."
"朝から何も飲んでいないので、のどが（ ）です。","ぺらぺら","からから","ふらふら","ぺこぺこ","からから","","","아무것도 마시지 않아 목이 '바싹바싹 마르다'는 문맥. 「からから=바싹 마른 상태」가 정답. ぺらぺら=유창하게(말), ふらふら=비틀비틀, ぺこぺこ=배가 고파 꼬르륵거리는 상태.","Nothing to drink all morning -> throat is からから (parched/very dry). ぺらぺら=fluent (speech), ふらふら=dizzy/unsteady, ぺこぺこ=very hungry.","早上什么都没喝，所以喉咙からから（干渴/嗓子干）。ぺらぺら=（说话）流利，ふらふら=摇晃，ぺこぺこ=肚子饿（咕咕叫）。","早上什麼都沒喝，所以喉嚨からから（乾渴/嗓子乾）。ぺらぺら=（說話）流利，ふらふら=搖晃，ぺこぺこ=肚子餓（咕咕叫）。","朝から何も飲んでいない→のどがからから(very dry/parched)。ぺらぺら(fluent)・ふらふら(unsteady)・ぺこぺこ(hungry)は意味が違います。","Rien bu le matin -> gorge からから (très sèche). ぺらぺら=courant (parole), ふらふら=étourdi, ぺこぺこ=affamé.","Tidak minum sejak pagi -> tenggorokan からから (sangat kering). ぺらぺら=lancar (bicara), ふらふら=pusing, ぺこぺこ=lapar sekali.","Sin beber nada desde la mañana -> garganta からから (muy seca). ぺらぺら=fluido (habla), ふらふら=mareado, ぺこぺこ=muy hambriento.","ไม่ได้ดื่มอะไรตั้งแต่เช้า → คอ からから (แห้งมาก) ぺらぺら=พูดคล่อง ふらふら=โซเซ ぺこぺこ=หิวมาก","Khong uong gi tu sang -> hong からから (rat kho). ぺらぺら=noi luu loat, ふらふら=loang choang, ぺこぺこ=doi bung."
"__に意味が最も近いものを、一つえらびなさい。とてもおそろしい経験をした。","たのしい","うれしい","はずかしい","こわい","こわい","","おそろしい","「恐ろしい（おそろしい）」=무섭다/두렵다=「怖い（こわい）」. たのしい=즐겁다, うれしい=기쁘다, はずかしい=부끄럽다. 감정 형용사를 함께 정리해 두세요.","おそろしい (terrifying/fearful) is synonymous with こわい (scary). たのしい=fun, うれしい=happy, はずかしい=embarrassed.","「おそろしい」=恐怖/可怕=「こわい」。たのしい=快乐，うれしい=高兴，はずかしい=害羞。","「おそろしい」=恐怖/可怕=「こわい」。たのしい=快樂，うれしい=高興，はずかしい=害羞。","「おそろしい（恐ろしい）」=こわい(怖い)と同義。たのしい(楽しい)・うれしい(嬉しい)・はずかしい(恥ずかしい)は別の感情。","おそろしい (effrayant) = こわい (effrayant/effrayé). たのしい=amusant, うれしい=heureux, はずかしい=gêné.","おそろしい (menakutkan) = こわい (menakutkan). たのしい=menyenangkan, うれしい=senang, はずかしい=malu.","おそろしい (aterrador) = こわい (aterrador). たのしい=divertido, うれしい=feliz, はずかしい=avergonzado.","「おそろしい」(น่ากลัวมาก) = こわい (น่ากลัว) たのしい=สนุก うれしい=ดีใจ はずかしい=อาย","おそろしい (dang so) = こわい (so hai). たのしい=vui ve, うれしい=vui mung, はずかしい=xau ho."
"最近、この川は水がへった気がする。","多くなった","少なくなった","きれいになった","きたなくなった","少なくなった","","へった","「減る（へる）」는 '줄어들다/적어지다'라는 의미입니다. 강물이 減った=적어졌다=「少なくなった」. 多くなった=많아졌다(반대), きれいになった/きたなくなった는 수량이 아닌 상태의 변화.","へる (減る, decrease) means to become less. 水がへった = water decreased = 少なくなった. 多くなった=increased (opposite), きれい/きたない are quality, not quantity.","「へる（減る）」=减少。水がへった=水少了=「少なくなった」。多くなった=增多（反义），きれい/きたないは水质，不是水量。","「へる（減る）」=減少。水がへった=水少了=「少なくなった」。多くなった=增多（反義），きれい/きたないは水質，不是水量。","「へる（減る）」=少なくなること。水がへった=少なくなった。多くなった(反対)・きれい/きたないは量ではなく質の変化。","へる (減る, diminuer) = devenir moins. 水がへった = l'eau a baissé = 少なくなった. 多くなった=augmenté (opposé).","へる (減る, berkurang) = menjadi lebih sedikit. 水がへった = air berkurang = 少なくなった. 多くなった=bertambah (lawan).","へる (減る, disminuir) = volverse menos. 水がへった = el agua disminuyó = 少なくなった. 多くなった=aumentado (opuesto).","「へる（減る）」= ลดลง/น้อยลง 水がへった = น้ำลดลง = 少なくなった 多くなった=เพิ่มขึ้น (ตรงข้าม)","へる (減る, giam) = tro nen it hon. 水がへった = nuoc giam = 少なくなった. 多くなった=tang (trai nghia)."
"つぎのことばの使い方として最もよいものを、一つえらびなさい。ころぶ","今日は疲れたので、早めにベッドにころんだ。","仕事が入ったので、旅行の計画がころんでしまった。","台風で庭の木がころんだ。","階段でころんでけがをした。","階段でころんでけがをした。","","","「転ぶ（ころぶ）」는 사람이 '넘어지다'는 의미입니다. 계단에서 넘어져서 다쳤다는 표현이 정확합니다. 침대에 눕는 것=「横になる(よこになる)」, 계획이 틀어지는 것=「くずれる/だめになる」, 나무가 쓰러지는 것=「たおれる」.","ころぶ (転ぶ, trip/fall) means a person falls over. 階段でころんでけがをした (fell on stairs and got hurt) is correct. Lying in bed=横になる, plan falling apart=くずれる, tree falling=たおれる.","「ころぶ（転ぶ）」=（人が）摔倒。在楼梯上摔倒受伤是正确用法。躺在床上=横になる，计划泡汤=くずれる，树倒下=たおれる。","「ころぶ（転ぶ）」=（人が）摔倒。在樓梯上摔倒受傷是正確用法。躺在床上=横になる，計劃泡湯=くずれる，樹倒下=たおれる。","「転ぶ（ころぶ）」は人が転倒するときに使います。階段でころんでけがをした、が正しい。ベッド→横になる、計画→だめになる、木→たおれる。","ころぶ (転ぶ, trébucher/tomber) s'utilise quand une personne tombe. Tomber dans les escaliers et se blesser est correct.","ころぶ (転ぶ, terjatuh) digunakan saat seseorang jatuh. Terjatuh di tangga dan cedera adalah benar.","ころぶ (転ぶ, tropezar/caerse) se usa cuando una persona se cae. Caerse en las escaleras y hacerse daño es correcto.","「ころぶ（転ぶ）」ใช้เมื่อคนล้ม ล้มที่บันไดและบาดเจ็บ ถูกต้อง นอนบนเตียง=横になる แผนพัง=くずれる ต้นไม้ล้ม=たおれる","ころぶ (転ぶ, nga/vap nga) dung khi nguoi nga. Nga o cau thang va bi thuong la dung. Nam xuong=横になる, ke hoach that bai=くずれる, cay do=たおれる."
"見送る","毎日かならずメールを見送るようにしている。","何ページか見送ってみたが、むずかしくてわからなかった。","電車の窓から景色を見送るのが好きだ。","国に帰る友人を空港まで見送った。","国に帰る友人を空港まで見送った。","","","「見送る（みおくる）」는 떠나는 사람을 배웅하다는 의미입니다. 귀국하는 친구를 공항까지 배웅했다는 표현이 정확합니다. メールを見送る=존재하지 않는 표현, ページを見送る=「とばす(skip)」, 景色を見送る=「眺める(바라보다)」.","見送る means to see someone off (farewell). Seeing off a friend at the airport is correct. メール→send=送る, pages→skip=とばす, scenery→gaze=眺める.","「見送る」=送别/送行。送朋友去机场是正确用法。メールを見送る不存在，页面→跳过=とばす，风景→眺望=眺める。","「見送る」=送別/送行。送朋友去機場是正確用法。メールを見送る不存在，頁面→跳過=とばす，風景→眺望=眺める。","「見送る」は人を送り出すときに使います。帰国する友人を空港まで見送った、が正しい。メール→送る、ページ→とばす、景色→眺める。","見送る (raccompagner) = dire au revoir à quelqu'un qui part. Accompagner un ami à l'aéroport est correct.","見送る (melepas/mengantar) = mengantar orang yang pergi. Mengantar teman ke bandara adalah benar.","見送る (despedir) = despedir a alguien que parte. Acompañar a un amigo al aeropuerto es correcto.","「見送る」= ส่งคนที่จากไป ส่งเพื่อนที่กลับบ้านที่สนามบิน ถูกต้อง เมล→ส่ง=送る หน้า→ข้าม=とばす ทิวทัศน์→มอง=眺める","見送る (tien chan) = tien nguoi ra di. Tien ban ve nuoc o san bay la dung. Thu→gui=送る, trang→bo qua=とばす, phong canh→ngam=眺める."
