question,option1,option2,option3,option4,answer,audioFileName,startTime,endTime,imageName,scriptKey,script_ko,script_en,script_zh_hans,script_zh_hant,script_ja,script_fr,script_id,script_es,script_th,script_vi
1番,商品を補充する,さくら店に商品を送る,ダイレクトメールの発送の準備をする,店で使用するかざりを作る,商品を補充する,n1q1.mp3,,,,,1番                     洋服の店で店長と女の店員が話しています。女の店員はまず何をしますか。                     M：森さん、僕、これからちょっと出掛けないといけないんだ。その間、店のほうよろしくね。                     F：はい。                     M：今お客さん少ないから、接客のほうは斉藤さんに任せて、森さんは売れた分の商品を倉庫から持ってきて、売り場に並べて。                     F：分かりました。                     M：あ、その前にさくら店に送ることになっている商品をいつものように送っといてくれる？                     F：はい、それなら、さっきしておきました。                     M：ああ、ありがとう。あと、手が空いたら、ダイレクトメールの発送の準備もよろしくね。                     F：はい、今度のバーゲンのですね。あ、それで思い出しました。バーゲンのときに店で使う飾りはまだ作らなくていいですか。                     M：うん、それも急いで進めないと、まずいんだ。僕が戻ってきてから指示するから、すぐ取り掛かろう。じゃ、行ってくるよ。                     F：分かりました。                     女の店員はまず何をしますか。,1番                     洋服の店で店長と女の店員が話しています。女の店員はまず何をしますか。                     M：森さん、僕、これからちょっと出掛けないといけないんだ。その間、店のほうよろしくね。                     F：はい。                     M：今お客さん少ないから、接客のほうは斉藤さんに任せて、森さんは売れた分の商品を倉庫から持ってきて、売り場に並べて。                     F：分かりました。                     M：あ、その前にさくら店に送ることになっている商品をいつものように送っといてくれる？                     F：はい、それなら、さっきしておきました。                     M：ああ、ありがとう。あと、手が空いたら、ダイレクトメールの発送の準備もよろしくね。                     F：はい、今度のバーゲンのですね。あ、それで思い出しました。バーゲンのときに店で使う飾りはまだ作らなくていいですか。                     M：うん、それも急いで進めないと、まずいんだ。僕が戻ってきてから指示するから、すぐ取り掛かろう。じゃ、行ってくるよ。                     F：分かりました。                     女の店員はまず何をしますか。,1番                     洋服の店で店長と女の店員が話しています。女の店員はまず何をしますか。                     M：森さん、僕、これからちょっと出掛けないといけないんだ。その間、店のほうよろしくね。                     F：はい。                     M：今お客さん少ないから、接客のほうは斉藤さんに任せて、森さんは売れた分の商品を倉庫から持ってきて、売り場に並べて。                     F：分かりました。                     M：あ、その前にさくら店に送ることになっている商品をいつものように送っといてくれる？                     F：はい、それなら、さっきしておきました。                     M：ああ、ありがとう。あと、手が空いたら、ダイレクトメールの発送の準備もよろしくね。                     F：はい、今度のバーゲンのですね。あ、それで思い出しました。バーゲンのときに店で使う飾りはまだ作らなくていいですか。                     M：うん、それも急いで進めないと、まずいんだ。僕が戻ってきてから指示するから、すぐ取り掛かろう。じゃ、行ってくるよ。                     F：分かりました。                     女の店員はまず何をしますか。,1番                     洋服の店で店長と女の店員が話しています。女の店員はまず何をしますか。                     M：森さん、僕、これからちょっと出掛けないといけないんだ。その間、店のほうよろしくね。                     F：はい。                     M：今お客さん少ないから、接客のほうは斉藤さんに任せて、森さんは売れた分の商品を倉庫から持ってきて、売り場に並べて。                     F：分かりました。                     M：あ、その前にさくら店に送ることになっている商品をいつものように送っといてくれる？                     F：はい、それなら、さっきしておきました。                     M：ああ、ありがとう。あと、手が空いたら、ダイレクトメールの発送の準備もよろしくね。                     F：はい、今度のバーゲンのですね。あ、それで思い出しました。バーゲンのときに店で使う飾りはまだ作らなくていいですか。                     M：うん、それも急いで進めないと、まずいんだ。僕が戻ってきてから指示するから、すぐ取り掛かろう。じゃ、行ってくるよ。                     F：分かりました。                     女の店員はまず何をしますか。,1番                     洋服の店で店長と女の店員が話しています。女の店員はまず何をしますか。                     M：森さん、僕、これからちょっと出掛けないといけないんだ。その間、店のほうよろしくね。                     F：はい。                     M：今お客さん少ないから、接客のほうは斉藤さんに任せて、森さんは売れた分の商品を倉庫から持ってきて、売り場に並べて。                     F：分かりました。                     M：あ、その前にさくら店に送ることになっている商品をいつものように送っといてくれる？                     F：はい、それなら、さっきしておきました。                     M：ああ、ありがとう。あと、手が空いたら、ダイレクトメールの発送の準備もよろしくね。                     F：はい、今度のバーゲンのですね。あ、それで思い出しました。バーゲンのときに店で使う飾りはまだ作らなくていいですか。                     M：うん、それも急いで進めないと、まずいんだ。僕が戻ってきてから指示するから、すぐ取り掛かろう。じゃ、行ってくるよ。                     F：分かりました。                     女の店員はまず何をしますか。,1番                     洋服の店で店長と女の店員が話しています。女の店員はまず何をしますか。                     M：森さん、僕、これからちょっと出掛けないといけないんだ。その間、店のほうよろしくね。                     F：はい。                     M：今お客さん少ないから、接客のほうは斉藤さんに任せて、森さんは売れた分の商品を倉庫から持ってきて、売り場に並べて。                     F：分かりました。                     M：あ、その前にさくら店に送ることになっている商品をいつものように送っといてくれる？                     F：はい、それなら、さっきしておきました。                     M：ああ、ありがとう。あと、手が空いたら、ダイレクトメールの発送の準備もよろしくね。                     F：はい、今度のバーゲンのですね。あ、それで思い出しました。バーゲンのときに店で使う飾りはまだ作らなくていいですか。                     M：うん、それも急いで進めないと、まずいんだ。僕が戻ってきてから指示するから、すぐ取り掛かろう。じゃ、行ってくるよ。                     F：分かりました。                     女の店員はまず何をしますか。,1番                     洋服の店で店長と女の店員が話しています。女の店員はまず何をしますか。                     M：森さん、僕、これからちょっと出掛けないといけないんだ。その間、店のほうよろしくね。                     F：はい。                     M：今お客さん少ないから、接客のほうは斉藤さんに任せて、森さんは売れた分の商品を倉庫から持ってきて、売り場に並べて。                     F：分かりました。                     M：あ、その前にさくら店に送ることになっている商品をいつものように送っといてくれる？                     F：はい、それなら、さっきしておきました。                     M：ああ、ありがとう。あと、手が空いたら、ダイレクトメールの発送の準備もよろしくね。                     F：はい、今度のバーゲンのですね。あ、それで思い出しました。バーゲンのときに店で使う飾りはまだ作らなくていいですか。                     M：うん、それも急いで進めないと、まずいんだ。僕が戻ってきてから指示するから、すぐ取り掛かろう。じゃ、行ってくるよ。                     F：分かりました。                     女の店員はまず何をしますか。,1番                     洋服の店で店長と女の店員が話しています。女の店員はまず何をしますか。                     M：森さん、僕、これからちょっと出掛けないといけないんだ。その間、店のほうよろしくね。                     F：はい。                     M：今お客さん少ないから、接客のほうは斉藤さんに任せて、森さんは売れた分の商品を倉庫から持ってきて、売り場に並べて。                     F：分かりました。                     M：あ、その前にさくら店に送ることになっている商品をいつものように送っといてくれる？                     F：はい、それなら、さっきしておきました。                     M：ああ、ありがとう。あと、手が空いたら、ダイレクトメールの発送の準備もよろしくね。                     F：はい、今度のバーゲンのですね。あ、それで思い出しました。バーゲンのときに店で使う飾りはまだ作らなくていいですか。                     M：うん、それも急いで進めないと、まずいんだ。僕が戻ってきてから指示するから、すぐ取り掛かろう。じゃ、行ってくるよ。                     F：分かりました。                     女の店員はまず何をしますか。,1番                     洋服の店で店長と女の店員が話しています。女の店員はまず何をしますか。                     M：森さん、僕、これからちょっと出掛けないといけないんだ。その間、店のほうよろしくね。                     F：はい。                     M：今お客さん少ないから、接客のほうは斉藤さんに任せて、森さんは売れた分の商品を倉庫から持ってきて、売り場に並べて。                     F：分かりました。                     M：あ、その前にさくら店に送ることになっている商品をいつものように送っといてくれる？                     F：はい、それなら、さっきしておきました。                     M：ああ、ありがとう。あと、手が空いたら、ダイレクトメールの発送の準備もよろしくね。                     F：はい、今度のバーゲンのですね。あ、それで思い出しました。バーゲンのときに店で使う飾りはまだ作らなくていいですか。                     M：うん、それも急いで進めないと、まずいんだ。僕が戻ってきてから指示するから、すぐ取り掛かろう。じゃ、行ってくるよ。                     F：分かりました。                     女の店員はまず何をしますか。,1番                     洋服の店で店長と女の店員が話しています。女の店員はまず何をしますか。                     M：森さん、僕、これからちょっと出掛けないといけないんだ。その間、店のほうよろしくね。                     F：はい。                     M：今お客さん少ないから、接客のほうは斉藤さんに任せて、森さんは売れた分の商品を倉庫から持ってきて、売り場に並べて。                     F：分かりました。                     M：あ、その前にさくら店に送ることになっている商品をいつものように送っといてくれる？                     F：はい、それなら、さっきしておきました。                     M：ああ、ありがとう。あと、手が空いたら、ダイレクトメールの発送の準備もよろしくね。                     F：はい、今度のバーゲンのですね。あ、それで思い出しました。バーゲンのときに店で使う飾りはまだ作らなくていいですか。                     M：うん、それも急いで進めないと、まずいんだ。僕が戻ってきてから指示するから、すぐ取り掛かろう。じゃ、行ってくるよ。                     F：分かりました。                     女の店員はまず何をしますか。
2番,体験者のビデオを見る,先生にすいせんじょうを依頼する,保険の加入手続きをする,指定科目の成績をかくにんする,指定科目の成績をかくにんする,n1q2.mp3,,,,,2番                     大学の就職支援センターで男の学生と職員が話しています。男の学生はこのあとまず何をしますか。                     M：すみません、インターンシップに参加したいんですけど。                     F：そうですか。インターンシップのイメージをつかんでもらうために、申し込み前に先輩たちの体験談のビデオを見ることをお勧めしているんですけど。                     M：はい、それは一通り。それで、川本貿易という会社に申し込みたいんですが。                     F：はい。                     M：あのう、指導教員の推薦状とかって必要なんですか。                     F：はい。実際の業務をするんで、保険にも加入する必要があります。                     M：そうですか。                     F：あと、「グローバル経営」という科目はもう取りましたか。この科目の成績がよくないと申し込めないんですよ。成績が「優」か「良」であることが申し込みの条件になってます。                     M：ああ、その科目、去年単位は取得していて、確か「良」だったと思うんですが、どうだったかな。うちに帰れば分かるんですけど。                     F：じゃ、それを確かめることからですね。申し込みの締め切り自体はまだ先なんで、書類や具体的な手続きといったことはそれからで。                     M：はい、ありがとうございました。                     男の学生は、このあとまず何をしますか。,2番                     大学の就職支援センターで男の学生と職員が話しています。男の学生はこのあとまず何をしますか。                     M：すみません、インターンシップに参加したいんですけど。                     F：そうですか。インターンシップのイメージをつかんでもらうために、申し込み前に先輩たちの体験談のビデオを見ることをお勧めしているんですけど。                     M：はい、それは一通り。それで、川本貿易という会社に申し込みたいんですが。                     F：はい。                     M：あのう、指導教員の推薦状とかって必要なんですか。                     F：はい。実際の業務をするんで、保険にも加入する必要があります。                     M：そうですか。                     F：あと、「グローバル経営」という科目はもう取りましたか。この科目の成績がよくないと申し込めないんですよ。成績が「優」か「良」であることが申し込みの条件になってます。                     M：ああ、その科目、去年単位は取得していて、確か「良」だったと思うんですが、どうだったかな。うちに帰れば分かるんですけど。                     F：じゃ、それを確かめることからですね。申し込みの締め切り自体はまだ先なんで、書類や具体的な手続きといったことはそれからで。                     M：はい、ありがとうございました。                     男の学生は、このあとまず何をしますか。,2番                     大学の就職支援センターで男の学生と職員が話しています。男の学生はこのあとまず何をしますか。                     M：すみません、インターンシップに参加したいんですけど。                     F：そうですか。インターンシップのイメージをつかんでもらうために、申し込み前に先輩たちの体験談のビデオを見ることをお勧めしているんですけど。                     M：はい、それは一通り。それで、川本貿易という会社に申し込みたいんですが。                     F：はい。                     M：あのう、指導教員の推薦状とかって必要なんですか。                     F：はい。実際の業務をするんで、保険にも加入する必要があります。                     M：そうですか。                     F：あと、「グローバル経営」という科目はもう取りましたか。この科目の成績がよくないと申し込めないんですよ。成績が「優」か「良」であることが申し込みの条件になってます。                     M：ああ、その科目、去年単位は取得していて、確か「良」だったと思うんですが、どうだったかな。うちに帰れば分かるんですけど。                     F：じゃ、それを確かめることからですね。申し込みの締め切り自体はまだ先なんで、書類や具体的な手続きといったことはそれからで。                     M：はい、ありがとうございました。                     男の学生は、このあとまず何をしますか。,2番                     大学の就職支援センターで男の学生と職員が話しています。男の学生はこのあとまず何をしますか。                     M：すみません、インターンシップに参加したいんですけど。                     F：そうですか。インターンシップのイメージをつかんでもらうために、申し込み前に先輩たちの体験談のビデオを見ることをお勧めしているんですけど。                     M：はい、それは一通り。それで、川本貿易という会社に申し込みたいんですが。                     F：はい。                     M：あのう、指導教員の推薦状とかって必要なんですか。                     F：はい。実際の業務をするんで、保険にも加入する必要があります。                     M：そうですか。                     F：あと、「グローバル経営」という科目はもう取りましたか。この科目の成績がよくないと申し込めないんですよ。成績が「優」か「良」であることが申し込みの条件になってます。                     M：ああ、その科目、去年単位は取得していて、確か「良」だったと思うんですが、どうだったかな。うちに帰れば分かるんですけど。                     F：じゃ、それを確かめることからですね。申し込みの締め切り自体はまだ先なんで、書類や具体的な手続きといったことはそれからで。                     M：はい、ありがとうございました。                     男の学生は、このあとまず何をしますか。,2番                     大学の就職支援センターで男の学生と職員が話しています。男の学生はこのあとまず何をしますか。                     M：すみません、インターンシップに参加したいんですけど。                     F：そうですか。インターンシップのイメージをつかんでもらうために、申し込み前に先輩たちの体験談のビデオを見ることをお勧めしているんですけど。                     M：はい、それは一通り。それで、川本貿易という会社に申し込みたいんですが。                     F：はい。                     M：あのう、指導教員の推薦状とかって必要なんですか。                     F：はい。実際の業務をするんで、保険にも加入する必要があります。                     M：そうですか。                     F：あと、「グローバル経営」という科目はもう取りましたか。この科目の成績がよくないと申し込めないんですよ。成績が「優」か「良」であることが申し込みの条件になってます。                     M：ああ、その科目、去年単位は取得していて、確か「良」だったと思うんですが、どうだったかな。うちに帰れば分かるんですけど。                     F：じゃ、それを確かめることからですね。申し込みの締め切り自体はまだ先なんで、書類や具体的な手続きといったことはそれからで。                     M：はい、ありがとうございました。                     男の学生は、このあとまず何をしますか。,2番                     大学の就職支援センターで男の学生と職員が話しています。男の学生はこのあとまず何をしますか。                     M：すみません、インターンシップに参加したいんですけど。                     F：そうですか。インターンシップのイメージをつかんでもらうために、申し込み前に先輩たちの体験談のビデオを見ることをお勧めしているんですけど。                     M：はい、それは一通り。それで、川本貿易という会社に申し込みたいんですが。                     F：はい。                     M：あのう、指導教員の推薦状とかって必要なんですか。                     F：はい。実際の業務をするんで、保険にも加入する必要があります。                     M：そうですか。                     F：あと、「グローバル経営」という科目はもう取りましたか。この科目の成績がよくないと申し込めないんですよ。成績が「優」か「良」であることが申し込みの条件になってます。                     M：ああ、その科目、去年単位は取得していて、確か「良」だったと思うんですが、どうだったかな。うちに帰れば分かるんですけど。                     F：じゃ、それを確かめることからですね。申し込みの締め切り自体はまだ先なんで、書類や具体的な手続きといったことはそれからで。                     M：はい、ありがとうございました。                     男の学生は、このあとまず何をしますか。,2番                     大学の就職支援センターで男の学生と職員が話しています。男の学生はこのあとまず何をしますか。                     M：すみません、インターンシップに参加したいんですけど。                     F：そうですか。インターンシップのイメージをつかんでもらうために、申し込み前に先輩たちの体験談のビデオを見ることをお勧めしているんですけど。                     M：はい、それは一通り。それで、川本貿易という会社に申し込みたいんですが。                     F：はい。                     M：あのう、指導教員の推薦状とかって必要なんですか。                     F：はい。実際の業務をするんで、保険にも加入する必要があります。                     M：そうですか。                     F：あと、「グローバル経営」という科目はもう取りましたか。この科目の成績がよくないと申し込めないんですよ。成績が「優」か「良」であることが申し込みの条件になってます。                     M：ああ、その科目、去年単位は取得していて、確か「良」だったと思うんですが、どうだったかな。うちに帰れば分かるんですけど。                     F：じゃ、それを確かめることからですね。申し込みの締め切り自体はまだ先なんで、書類や具体的な手続きといったことはそれからで。                     M：はい、ありがとうございました。                     男の学生は、このあとまず何をしますか。,2番                     大学の就職支援センターで男の学生と職員が話しています。男の学生はこのあとまず何をしますか。                     M：すみません、インターンシップに参加したいんですけど。                     F：そうですか。インターンシップのイメージをつかんでもらうために、申し込み前に先輩たちの体験談のビデオを見ることをお勧めしているんですけど。                     M：はい、それは一通り。それで、川本貿易という会社に申し込みたいんですが。                     F：はい。                     M：あのう、指導教員の推薦状とかって必要なんですか。                     F：はい。実際の業務をするんで、保険にも加入する必要があります。                     M：そうですか。                     F：あと、「グローバル経営」という科目はもう取りましたか。この科目の成績がよくないと申し込めないんですよ。成績が「優」か「良」であることが申し込みの条件になってます。                     M：ああ、その科目、去年単位は取得していて、確か「良」だったと思うんですが、どうだったかな。うちに帰れば分かるんですけど。                     F：じゃ、それを確かめることからですね。申し込みの締め切り自体はまだ先なんで、書類や具体的な手続きといったことはそれからで。                     M：はい、ありがとうございました。                     男の学生は、このあとまず何をしますか。,2番                     大学の就職支援センターで男の学生と職員が話しています。男の学生はこのあとまず何をしますか。                     M：すみません、インターンシップに参加したいんですけど。                     F：そうですか。インターンシップのイメージをつかんでもらうために、申し込み前に先輩たちの体験談のビデオを見ることをお勧めしているんですけど。                     M：はい、それは一通り。それで、川本貿易という会社に申し込みたいんですが。                     F：はい。                     M：あのう、指導教員の推薦状とかって必要なんですか。                     F：はい。実際の業務をするんで、保険にも加入する必要があります。                     M：そうですか。                     F：あと、「グローバル経営」という科目はもう取りましたか。この科目の成績がよくないと申し込めないんですよ。成績が「優」か「良」であることが申し込みの条件になってます。                     M：ああ、その科目、去年単位は取得していて、確か「良」だったと思うんですが、どうだったかな。うちに帰れば分かるんですけど。                     F：じゃ、それを確かめることからですね。申し込みの締め切り自体はまだ先なんで、書類や具体的な手続きといったことはそれからで。                     M：はい、ありがとうございました。                     男の学生は、このあとまず何をしますか。,2番                     大学の就職支援センターで男の学生と職員が話しています。男の学生はこのあとまず何をしますか。                     M：すみません、インターンシップに参加したいんですけど。                     F：そうですか。インターンシップのイメージをつかんでもらうために、申し込み前に先輩たちの体験談のビデオを見ることをお勧めしているんですけど。                     M：はい、それは一通り。それで、川本貿易という会社に申し込みたいんですが。                     F：はい。                     M：あのう、指導教員の推薦状とかって必要なんですか。                     F：はい。実際の業務をするんで、保険にも加入する必要があります。                     M：そうですか。                     F：あと、「グローバル経営」という科目はもう取りましたか。この科目の成績がよくないと申し込めないんですよ。成績が「優」か「良」であることが申し込みの条件になってます。                     M：ああ、その科目、去年単位は取得していて、確か「良」だったと思うんですが、どうだったかな。うちに帰れば分かるんですけど。                     F：じゃ、それを確かめることからですね。申し込みの締め切り自体はまだ先なんで、書類や具体的な手続きといったことはそれからで。                     M：はい、ありがとうございました。                     男の学生は、このあとまず何をしますか。
3番,見積もりの合計金額を見直す,見積もり金額の内訳を詳しく書く,バスが確保できたかかくにんする,見積書の有効期限を書く,見積もり金額の内訳を詳しく書く,n1q3.mp3,,,,,3番                     旅行会社で女の人と課長が見積書について話しています。女の人はこのあとまず何をしなければなりませんか。                     F：課長さん、海山産業の社員旅行の見積もりを作成したので、ちょっと目を通していただけないでしょうか。                     M：いいよ。うーん、見積もりの合計金額は、まあ、妥当な線かな。これでよさそうだね。でも、金額の提示が大雑把っていうか、情報不足っていうか、分かりにくいね。                     F：とおっしゃいますと？                     M：何にいくらかかるかというところをもう少し細かく書かないと、先方も検討のしようがないんじゃない？                     F：はい。                     M：それから、バスは2台ってなってるけど、確保できてる？見積もりを出す以上は、当日移動手段がなかったなんてわけにはいかないからね。                     F：バス会社のほうからは可能との報告を受けております。                     M：そう。仮予約取れてるなら安心だね。あ、見積もりの有効期限、抜けてるよ。                     F：あ、すみません。最終的に、部長の決裁をいただいてからと思っていましたが。                     M：そうか。じゃ、差し当たりさっきの点だけ直しといて。                     女の人はこのあとまず何をしなければなりませんか。,3番                     旅行会社で女の人と課長が見積書について話しています。女の人はこのあとまず何をしなければなりませんか。                     F：課長さん、海山産業の社員旅行の見積もりを作成したので、ちょっと目を通していただけないでしょうか。                     M：いいよ。うーん、見積もりの合計金額は、まあ、妥当な線かな。これでよさそうだね。でも、金額の提示が大雑把っていうか、情報不足っていうか、分かりにくいね。                     F：とおっしゃいますと？                     M：何にいくらかかるかというところをもう少し細かく書かないと、先方も検討のしようがないんじゃない？                     F：はい。                     M：それから、バスは2台ってなってるけど、確保できてる？見積もりを出す以上は、当日移動手段がなかったなんてわけにはいかないからね。                     F：バス会社のほうからは可能との報告を受けております。                     M：そう。仮予約取れてるなら安心だね。あ、見積もりの有効期限、抜けてるよ。                     F：あ、すみません。最終的に、部長の決裁をいただいてからと思っていましたが。                     M：そうか。じゃ、差し当たりさっきの点だけ直しといて。                     女の人はこのあとまず何をしなければなりませんか。,3番                     旅行会社で女の人と課長が見積書について話しています。女の人はこのあとまず何をしなければなりませんか。                     F：課長さん、海山産業の社員旅行の見積もりを作成したので、ちょっと目を通していただけないでしょうか。                     M：いいよ。うーん、見積もりの合計金額は、まあ、妥当な線かな。これでよさそうだね。でも、金額の提示が大雑把っていうか、情報不足っていうか、分かりにくいね。                     F：とおっしゃいますと？                     M：何にいくらかかるかというところをもう少し細かく書かないと、先方も検討のしようがないんじゃない？                     F：はい。                     M：それから、バスは2台ってなってるけど、確保できてる？見積もりを出す以上は、当日移動手段がなかったなんてわけにはいかないからね。                     F：バス会社のほうからは可能との報告を受けております。                     M：そう。仮予約取れてるなら安心だね。あ、見積もりの有効期限、抜けてるよ。                     F：あ、すみません。最終的に、部長の決裁をいただいてからと思っていましたが。                     M：そうか。じゃ、差し当たりさっきの点だけ直しといて。                     女の人はこのあとまず何をしなければなりませんか。,3番                     旅行会社で女の人と課長が見積書について話しています。女の人はこのあとまず何をしなければなりませんか。                     F：課長さん、海山産業の社員旅行の見積もりを作成したので、ちょっと目を通していただけないでしょうか。                     M：いいよ。うーん、見積もりの合計金額は、まあ、妥当な線かな。これでよさそうだね。でも、金額の提示が大雑把っていうか、情報不足っていうか、分かりにくいね。                     F：とおっしゃいますと？                     M：何にいくらかかるかというところをもう少し細かく書かないと、先方も検討のしようがないんじゃない？                     F：はい。                     M：それから、バスは2台ってなってるけど、確保できてる？見積もりを出す以上は、当日移動手段がなかったなんてわけにはいかないからね。                     F：バス会社のほうからは可能との報告を受けております。                     M：そう。仮予約取れてるなら安心だね。あ、見積もりの有効期限、抜けてるよ。                     F：あ、すみません。最終的に、部長の決裁をいただいてからと思っていましたが。                     M：そうか。じゃ、差し当たりさっきの点だけ直しといて。                     女の人はこのあとまず何をしなければなりませんか。,3番                     旅行会社で女の人と課長が見積書について話しています。女の人はこのあとまず何をしなければなりませんか。                     F：課長さん、海山産業の社員旅行の見積もりを作成したので、ちょっと目を通していただけないでしょうか。                     M：いいよ。うーん、見積もりの合計金額は、まあ、妥当な線かな。これでよさそうだね。でも、金額の提示が大雑把っていうか、情報不足っていうか、分かりにくいね。                     F：とおっしゃいますと？                     M：何にいくらかかるかというところをもう少し細かく書かないと、先方も検討のしようがないんじゃない？                     F：はい。                     M：それから、バスは2台ってなってるけど、確保できてる？見積もりを出す以上は、当日移動手段がなかったなんてわけにはいかないからね。                     F：バス会社のほうからは可能との報告を受けております。                     M：そう。仮予約取れてるなら安心だね。あ、見積もりの有効期限、抜けてるよ。                     F：あ、すみません。最終的に、部長の決裁をいただいてからと思っていましたが。                     M：そうか。じゃ、差し当たりさっきの点だけ直しといて。                     女の人はこのあとまず何をしなければなりませんか。,3番                     旅行会社で女の人と課長が見積書について話しています。女の人はこのあとまず何をしなければなりませんか。                     F：課長さん、海山産業の社員旅行の見積もりを作成したので、ちょっと目を通していただけないでしょうか。                     M：いいよ。うーん、見積もりの合計金額は、まあ、妥当な線かな。これでよさそうだね。でも、金額の提示が大雑把っていうか、情報不足っていうか、分かりにくいね。                     F：とおっしゃいますと？                     M：何にいくらかかるかというところをもう少し細かく書かないと、先方も検討のしようがないんじゃない？                     F：はい。                     M：それから、バスは2台ってなってるけど、確保できてる？見積もりを出す以上は、当日移動手段がなかったなんてわけにはいかないからね。                     F：バス会社のほうからは可能との報告を受けております。                     M：そう。仮予約取れてるなら安心だね。あ、見積もりの有効期限、抜けてるよ。                     F：あ、すみません。最終的に、部長の決裁をいただいてからと思っていましたが。                     M：そうか。じゃ、差し当たりさっきの点だけ直しといて。                     女の人はこのあとまず何をしなければなりませんか。,3番                     旅行会社で女の人と課長が見積書について話しています。女の人はこのあとまず何をしなければなりませんか。                     F：課長さん、海山産業の社員旅行の見積もりを作成したので、ちょっと目を通していただけないでしょうか。                     M：いいよ。うーん、見積もりの合計金額は、まあ、妥当な線かな。これでよさそうだね。でも、金額の提示が大雑把っていうか、情報不足っていうか、分かりにくいね。                     F：とおっしゃいますと？                     M：何にいくらかかるかというところをもう少し細かく書かないと、先方も検討のしようがないんじゃない？                     F：はい。                     M：それから、バスは2台ってなってるけど、確保できてる？見積もりを出す以上は、当日移動手段がなかったなんてわけにはいかないからね。                     F：バス会社のほうからは可能との報告を受けております。                     M：そう。仮予約取れてるなら安心だね。あ、見積もりの有効期限、抜けてるよ。                     F：あ、すみません。最終的に、部長の決裁をいただいてからと思っていましたが。                     M：そうか。じゃ、差し当たりさっきの点だけ直しといて。                     女の人はこのあとまず何をしなければなりませんか。,3番                     旅行会社で女の人と課長が見積書について話しています。女の人はこのあとまず何をしなければなりませんか。                     F：課長さん、海山産業の社員旅行の見積もりを作成したので、ちょっと目を通していただけないでしょうか。                     M：いいよ。うーん、見積もりの合計金額は、まあ、妥当な線かな。これでよさそうだね。でも、金額の提示が大雑把っていうか、情報不足っていうか、分かりにくいね。                     F：とおっしゃいますと？                     M：何にいくらかかるかというところをもう少し細かく書かないと、先方も検討のしようがないんじゃない？                     F：はい。                     M：それから、バスは2台ってなってるけど、確保できてる？見積もりを出す以上は、当日移動手段がなかったなんてわけにはいかないからね。                     F：バス会社のほうからは可能との報告を受けております。                     M：そう。仮予約取れてるなら安心だね。あ、見積もりの有効期限、抜けてるよ。                     F：あ、すみません。最終的に、部長の決裁をいただいてからと思っていましたが。                     M：そうか。じゃ、差し当たりさっきの点だけ直しといて。                     女の人はこのあとまず何をしなければなりませんか。,3番                     旅行会社で女の人と課長が見積書について話しています。女の人はこのあとまず何をしなければなりませんか。                     F：課長さん、海山産業の社員旅行の見積もりを作成したので、ちょっと目を通していただけないでしょうか。                     M：いいよ。うーん、見積もりの合計金額は、まあ、妥当な線かな。これでよさそうだね。でも、金額の提示が大雑把っていうか、情報不足っていうか、分かりにくいね。                     F：とおっしゃいますと？                     M：何にいくらかかるかというところをもう少し細かく書かないと、先方も検討のしようがないんじゃない？                     F：はい。                     M：それから、バスは2台ってなってるけど、確保できてる？見積もりを出す以上は、当日移動手段がなかったなんてわけにはいかないからね。                     F：バス会社のほうからは可能との報告を受けております。                     M：そう。仮予約取れてるなら安心だね。あ、見積もりの有効期限、抜けてるよ。                     F：あ、すみません。最終的に、部長の決裁をいただいてからと思っていましたが。                     M：そうか。じゃ、差し当たりさっきの点だけ直しといて。                     女の人はこのあとまず何をしなければなりませんか。,3番                     旅行会社で女の人と課長が見積書について話しています。女の人はこのあとまず何をしなければなりませんか。                     F：課長さん、海山産業の社員旅行の見積もりを作成したので、ちょっと目を通していただけないでしょうか。                     M：いいよ。うーん、見積もりの合計金額は、まあ、妥当な線かな。これでよさそうだね。でも、金額の提示が大雑把っていうか、情報不足っていうか、分かりにくいね。                     F：とおっしゃいますと？                     M：何にいくらかかるかというところをもう少し細かく書かないと、先方も検討のしようがないんじゃない？                     F：はい。                     M：それから、バスは2台ってなってるけど、確保できてる？見積もりを出す以上は、当日移動手段がなかったなんてわけにはいかないからね。                     F：バス会社のほうからは可能との報告を受けております。                     M：そう。仮予約取れてるなら安心だね。あ、見積もりの有効期限、抜けてるよ。                     F：あ、すみません。最終的に、部長の決裁をいただいてからと思っていましたが。                     M：そうか。じゃ、差し当たりさっきの点だけ直しといて。                     女の人はこのあとまず何をしなければなりませんか。
