question,option1,option2,option3,option4,answer,audioFileName,startTime,endTime,imageName,scriptKey,script_ko,script_en,script_zh_hans,script_zh_hant,script_ja,script_fr,script_id,script_es,script_th,script_vi
1ばん,1,2,3,4,1,n4q1.m4a,165,222,audioimage1,,"남자와 여자가 이야기를 나누고 있습니다. 남자는 무엇으로 미술관에 가볼까요?  M: 미술관에 가고 싶은데, 무엇으로 가는 것이 편리한가요? F: 차(자동차)로 가면 10분(뿌)입니다. M: 그렇군요. 전(전)차(차)인가 버스로도 갈 수 있을까요? F: 음, 갈 수는 있지만 시간이 좀 걸릴 거예요. 자전거는 가지고 있나요? M: 네. F: 그럼, 자전거가 더 편리하죠. M: 그렇군요. 알겠습니다. 그럼, 그렇게 할게요.  남자는 무엇으로 미술관에 가볼까요?","A man and a woman are talking. Why Men Go to Bijukan Will you go?  M: I'd like to go to the Bizukan. Why is it convenient to go there? F: In the car If You Go It's ten minutes. M: Really? Is it an electric car Can I go by bus? F: Well, I can go, but it will take time. Do you have a rolling wheel? M: Yes. F: Then it's more convenient to use a self-turning car. M: I see. All right. Then I'll do that.  Why Men Go to Bijukan Will you go?",,,男(おとこ)の人(ひと)と 女(おんな)の人(ひと)が話(はな)しています。 男(おとこ)の人(ひと)は、何(なん)で 美(び)術(じゅつ)館(かん)へ 行(い)きますか。  Ｍ：美(び)術(じゅつ)館(かん)に 行(い)きたいんですけど、何(なん)で 行(い)くのが 便(べん)利(り)ですか。 Ｆ：車(くるま)で 行(い)けば 10分(ぷん)ですよ。 Ｍ：そうですか。電(でん)車(しゃ)か バスでも 行(い)けますか。 Ｆ：うーん、行(い)けますけど、時(じ)間(かん)が かかりますよ。自(じ)転(てん)車(しゃ)は 持(も)っていますか。 Ｍ：はい。 Ｆ：じゃあ、自(じ)転(てん)車(しゃ)のほうが 便(べん)利(り)ですよ。 Ｍ：そうですか。分(わ)かりました。じゃ、そうします。  男(おとこ)の人(ひと)は、何(なん)で 美(び)術(じゅつ)館(かん)へ 行(い)きますか。,,,,,
2ばん,1,2,3,4,4,n4q1.m4a,230,294,audioimage2,,"남자의 학생과 여학생이 이야기를 하고 있습니다. 남자의 학생은 무엇을 사나요?  M: 다음 주에 사토우 씨의 생일이네. 이미 선물, 샀어? F: 응. 가방을 샀다. M: 그렇구나. 나는 아직 결정하지 못하고 곤란해하고 있다. F: 그래. 그럼, 컵은 어때? 사(사)도 씨, 커피를 좋아해서 자주 마시고 있어. M: 음, 그런데 컵은 이미 많이 가지고 있을지도 모르겠네. F: 그럼, 수건은 어때? 자주 스포츠를 하니까. M: 그래, 맞아. 그럼, 그렇게 하자. 고마워요.  남자의 학생은 무엇을 사나요?","With Men's Students A female student is talking. What do male students buy?  M: Next week, Sato's birthday. Have you bought a present yet? F: Yeah. I bought a bag. M: I see. I haven't done it yet I couldn't make up my mind I'm in trouble. F: OK. Then how about a cup? Sado, I like coffee and drink a lot. M: Well, but the cup is already You may have a lot of them. F: So how about a towel? I play sports a lot. M: Okay. Then let's do that. Thank you.  What do male students buy?",,,男(おとこ)の学(がく)生(せい)と 女(おんな)の学(がく)生(せい)が話(はな)しています。 男(おとこ)の学(がく)生(せい)は、何(なに)を 買(か)いますか。  Ｍ：来(らい)週(しゅう)、佐(さ)藤(とう)さんの 誕(たん)生(じょう)日(び)だね。もう プレゼント、買(か)った？ Ｆ：うん。かばん、買(か)った。 Ｍ：そうか。僕(ぼく)は まだ 決(き)められなくて 困(こま)っているんだ。 Ｆ：そう。じゃあ、カップはどう？佐(さ)藤(とう)さん、コーヒーが 好(す)きで、よく 飲(の)んでいるよ。 Ｍ：うーん、でも、カップは もう たくさん 持(も)っているかもしれないな。 Ｆ：じゃあ、タオルはどう？よく スポーツをしているから。 Ｍ：そうだね。じゃあ、そうしよう。ありがとう。  男(おとこ)の学(がく)生(せい)は、何(なに)を 買(か)いますか。,,,,,
3ばん,2まい,4まい,5まい,6まい,5まい,n4q1.m4a,303,357,,,"3번 남자와 여자가 이야기를 나누고 있습니다. 여자는 티켓을 몇 장 예약하시겠습니까?  M: 다음 달 콘서트 티켓, 예약해줄래? F: 응, 괜찮아. 몇 장(몇 장)일까? M: 우리(ぼく)들 두 사람과 친구들 네 사람(요닌). F: 그럼, 6장(마이)네. M: 아, 맞다, 미안. 한 사람(한 명) 도합이 나빠졌기 때문에, 다섯 명이다. F: 아, 그래. 알겠어. M: 고마워. 그럼, 부탁해.  여자는 티켓을 몇 장 예약하시겠습니까?","Number 3 A man and a woman are talking. How many tickets does a woman have Would you like to make an appointment?  M: Can you make a reservation for the concert ticket for next month? F: Yeah, fine. What's that? M: Me (we) Two Friends Four people. F: Well, then, six. M: Oh, yeah, sorry. one person There are five of us now that the metropolitan government is in bad shape. F: Oh, yeah. I got it. M: Thank you. Then, please.  How many tickets does a woman have Would you like to make an appointment?",,,３番  男(おとこ)の人(ひと)と 女(おんな)の人(ひと)が話(はな)しています。 女(おんな)の人(ひと)は、チケットを 何(なん)枚(まい) 予(よ)約(やく)しますか。  Ｍ：来(らい)月(げつ)の コンサートの チケット、予(よ)約(やく)してくれる？ Ｆ：うん、いいよ。何(なん)枚(まい)？ Ｍ：僕(ぼく)たち 二人(ふたり)と、友(とも)達(だち) 四人(よにん)。 Ｆ：じゃあ、6枚(まい)ね。 Ｍ：あ、そうだ、ごめん。一人(ひとり) 都(つ)合(ごう)が 悪(わる)くなったから、五人(ごにん)だ。 Ｆ：あ、そう。分(わ)かった。 Ｍ：ありがとう。じゃあ、お願(ねが)い。  女(おんな)の人(ひと)は、チケットを 何(なん)枚(まい) 予(よ)約(やく)しますか。,,,,,
4ばん,アイ,アエ,イウ,イエ,イエ,n4q1.m4a,365,434,audioimage3,,"4번, 여성과 남성이 사진에 대해 이야기하고 있습니다. 여성은 어떤 사진을 보내나요?  F: 나라의 양쪽 부모에게 진심을 전하고 싶은데, 어느 것이 좋을까? M: 이 바다의 사진은 얼굴이 작고 잘 보이지 않네. F: 응. 그럼, 안 되겠네. 이 산의 사진은 어때? M: 응, 이거 좋네. F: 그럼, 이거 한 장(마이). 또 한 장은, 이 나의 부서 사진이야? M: 부(へ)야(や)가 별로 예쁘지 않으니까 그만두는 게 좋겠어. 그보다, 대학(だいがく)의 앞에서 뽑은 사진이 좋다. F: 그래, 맞아. 이 두 장(마이)으로 하자.  여성은 어떤 사진을 보내나요?","Number Four: A Woman and a Man About Shashin I'm talking. Which photo does a woman send?  F: I'd like to send a photo to both parents of my country. Which one do you think is better? M: This picture of the sea has a small face I can't see it. F: Yeah. Then no. How is this mountain photograph? M: Yeah, this is good. F: Well, one of these. Here's another picture of my clubhouse? [MK] The clubhouse is too big] It's not pretty Don't do that. Instead, I took it in front of the university I like the photo. F: Right. I'll take these two.  Which photo does a woman send?",,,４番  女(おんな)の人(ひと)と 男(おとこ)の人(ひと)が 写(しゃ)真(しん)について 話(はな)しています。 女(おんな)の人(ひと)は、どの 写(しゃ)真(しん)を 送(おく)りますか。  Ｆ：国(くに)の 両(りょう)親(しん)に 写(しゃ)真(しん)を 送(おく)りたいんだけど、どれがいいと思(おも)う？ Ｍ：この 海(うみ)の 写(しゃ)真(しん)は 顔(かお)が 小(ちい)さくて よく 見(み)えないね。 Ｆ：うん。じゃ、だめだね。この 山(やま)の 写(しゃ)真(しん)はどう？ Ｍ：うん、これ、いいね。 Ｆ：じゃ、これ1枚(まい)。もう1枚(まい)は、この、私(わたし)の 部(へ)屋(や)の 写(しゃ)真(しん)は？ Ｍ：部(へ)屋(や)が あまり きれいじゃないから やめたほうがいいよ。それより、大学(だいがく)の 前(まえ)で とった 写(しゃ)真(しん)が いいよ。 Ｆ：そうだね。この2枚(まい)にしよう。  女(おんな)の人(ひと)は、どの 写(しゃ)真(しん)を 送(おく)りますか。,,,,,
5ばん,1,2,3,4,3,n4q1.m4a,441,509,audioimage4,,"5번 남자의 유학생과 여성(여자)이 이야기를 하고 있습니다. 남성의 유학생은 무엇을 가지고 갈까요?  M: 친구들이 다쳐서 입원하고 있는 상황입니다. 오미(미)마이니 가고 싶지만, 일본에서는 무엇을 가지고 갈까요? F: 그렇네요. 자주 꽃이나 과일을 가지고 갑니다. 병원에서는 시간이 많이 있기 때문에, 책도 좋다고 생각합니다. M: 아, 좋네요. 책(ほん) 읽는 것을 좋아하니까, 그렇게 할게요. F: 아, 그리고, 젊은 사람이라면 음악 CD도 좋다고 생각합니다. M: 음… 하지만, 음악은 별로 듣지 않으니까.  남성의 유학생은 무엇을 가지고 갈까요?","Number 5 With the Man's Residence A woman is talking. What does a man's student bring with him?  M: My friends are injured and I'm in the hospital. May I See You I'd like to go, but in Japan What are you going to bring? F: That's right. I often bring flowers and fruits with me at the hospital A lot of time I think books are good, too. M: Oh, that's great. Books I like to read it, so I'll do that. F: Oh, and if you're young I think a CD with a good sound is also good. M: Well, but I don't really enjoy music I won't listen to it.  What does a man's student bring with him?",,,５番  男(おとこ)の 留(りゅう)学(がく)生(せい)と 女(おんな)の人(ひと)が話(はな)しています。 男(おとこ)の 留(りゅう)学(がく)生(せい)は、何(なに)を 持(も)っていきますか。  Ｍ：友(とも)達(だち)が けがをして、入(にゅう)院(いん)しているんです。お見(み)舞(ま)いに 行(い)きたいんですが、日本(にほん)では 何(なに)を 持(も)っていきますか。 Ｆ：そうですね。よく 花(はな)や 果(くだ)物(もの)を 持(も)っていきます。病(びょう)院(いん)では 時(じ)間(かん)が たくさん あるから、本(ほん)も いいと思(おも)いますよ。 Ｍ：ああ、いいですね。本(ほん) 読(よ)むのが 好(す)きだから、そうします。 Ｆ：あ、それから、若(わか)い人(ひと)なら 音(おん)楽(がく)のCDも いいと思(おも)いますよ。 Ｍ：うーん、でも、音(おん)楽(がく)は あまり 聴(き)きませんから。  男(おとこ)の 留(りゅう)学(がく)生(せい)は、何(なに)を 持(も)っていきますか。,,,,,
6ばん,1,2,3,4,2,n4q1.m4a,517,577,audioimage5,,"6번 회사에서 남자와 여자가 이야기를 나누고 있습니다. 여자는 오늘, 이 뒤에 무엇을 할까요?  M: 잠깐, 괜찮아? F: 네. M: 지금(이마) 부장(부)으로부터 전화가 있었고, 자료 복사를 부탁받았다. 부탁해도 될까? F: 알겠습니다. 내일 회의 자료이군요. M: 응. 그리고 회의실의 준비가 부족하지만, 의자를 미리 놓아줄 수 있을까? F: 네. 하지만 회의실은 지금 사용하고 있습니다. M: 그렇구나. 그럼 그건 내일이네.  여자는 오늘, 이 뒤에 무엇을 할까요?","At the Sixth Company A man and a woman are talking. The Woman Is Now Today, After This What are you going to do?  [MK] Wait a minute, okay? F: Yes. M: Right now From the Head of the Department I had a telephone conversation and was asked to copy the materials. Can I ask you a favor? F: All right. It's for tomorrow's meeting. M: Yeah. Also, for the preparation of the meeting room, can you arrange the chairs for me? F: Yes, but I'm using the meeting room now. M: I see. Then it's tomorrow.  The Woman Is Now Today, After This What are you going to do?",,,６番  会(かい)社(しゃ)で 男(おとこ)の人(ひと)と 女(おんな)の人(ひと)が話(はな)しています。 女(おんな)の人(ひと)は 今(きょう)日(う)、このあと 何(なに)を しますか。  Ｍ：ちょっと、いい？ Ｆ：はい。 Ｍ：今(いま) 部(ぶ)長(ちょう)から 電(でん)話(わ)があって、資(し)料(りょう)の コピーを 頼(たの)まれたんだ。お願(ねが)いしてもいい？ Ｆ：分(わ)かりました。明(あした)日の 会(かい)議(ぎ)の 資(し)料(りょう)ですね。 Ｍ：うん。それから、会(かい)議(ぎ)室(しつ)の 準(じゅん)備(び)だけど、いすを 並(なら)べておいてくれる？ Ｆ：はい。でも、会(かい)議(ぎ)室(しつ)は 今(いま)、使(つか)っています。 Ｍ：そうか。じゃあ、それは 明(あした)日(にち)だね。  女(おんな)の人(ひと)は 今(きょう)日(う)、このあと 何(なに)を しますか。,,,,,
7ばん,8時半にきょうしっ,8時半たいいくかんの前,9時にきょうしっ,9時にたいいくかんの前,8時半たいいくかんの前,n4q1.m4a,585,646,,,"7번 교실에서, 선생이 이야기하고 있습니다. 학생은 내일, 몇 시에 어디에 모이지 않으면 그렇지 않나요?  M: 어, 이제부터 내일 버스 여행에 대해 연(れん)락(らく)합니다. 　　내일은 아침 8시 반까지 와 주세요. 　　보통은 9시부터 시작하지만, 30분 일찍 시작하니 시간 차이가 없도록 해 주세요. 　　학교의 체육관 앞에 모여 주세요. 　　알겠어요? 교실이 아니라, 체육관 앞이에요.  학생은 내일, 몇 시에 어디에 모이지 않으면 그렇지 않나요?","In the 7th room, my predecessor was born I'm talking. Students Are Tomorrow, what time and where If We Don't Gather Can't you?  M: Well, I'm going to talk about tomorrow's bus trip I'll get in touch with you. 　　Tomorrow, by 8:00 a.m Please come. 　　It usually starts at nine o'clock, but it's 30 minutes early, so don't make a mistake. 　　Gather in front of the school's physical education center. 　　Look, it's not in the classroom, it's in front of the building.  Students Are Tomorrow, what time and where If We Don't Gather Can't you?",,,７番  教(きょう)室(しつ)で、先(せん)生(せい)が 話(はな)しています。 学(がく)生(せい)は 明(あした)日(にち)、何(なん)時(じ)に どこに 集(あつ)まらなければ なりませんか。  Ｍ：えー、これから、明(あした)日の バス旅(りょ)行(こう)について 連(れん)絡(らく)します。 　　明(あした)日は、朝(あさ)８時(じ)半(はん)までに 来(き)てください。 　　いつもは９時(じ)からですが、30分(ぷん)早(はや)いので、間(ま)違(ちが)えないでくださいね。 　　学(がっ)校(こう)の 体(たい)育(いく)館(かん)の 前(まえ)に 集(あつ)まってください。 　　いいですか。教(きょう)室(しつ)じゃなくて、体(たい)育(いく)館(かん)の 前(まえ)ですよ。  学(がく)生(せい)は 明(あした)日(にち)、何(なん)時(じ)に どこに 集(あつ)まらなければ なりませんか。,,,,,
8ばん,あかときいろ,あかとしろ,あおときいろ,あおとしろ,あかときいろ,n4q1.m4a,655,718,,,"8번 도서관에서 남성과 담당자가 이야기를 나누고 있습니다. 남자(오토코)의 사람은 그 뒤에 어떤 버튼을 누르시겠습니까?  M: 죄송합니다. 잠시, 카피의 방법을 알려주실 수 있나요? 　　파란 버튼을 눌렀는데, 글자가 너무 작게 나와버렸어요. F: 글자를 크게 하려면 빨간 버튼을 눌러 주세요. M: 아, 네. 그리고, 조금 더 진하게 만들고 싶어요. F: 그럼, 노란색 버튼을 눌러 주세요. 　　얇게 할 때는 흰색 버튼을 사용합니다. M: 그렇군요. 대단히 감사합니다.  남자(오토코)의 사람은 그 뒤에 어떤 버튼을 누르시겠습니까?","Figure 8 A man and a person in charge are talking in the library. Men After This Which button should I press?  M: I'm sorry. Could you tell me how to copy it? 　　I pressed the blue button, but the handwriting became small. F: Press the red button to enlarge your handwriting. M: Ah, yes, and a little bit more I want to thicken it. F: Then press the yellow button. 　　When thinning, it is a white button. [MK] Really? Thank you very much.  Men After This Which button should I press?",,,８番  図(と)書(しょ)館(かん)で 男(おとこ)の人(ひと)と 係(かか)りの人(ひと)が 話(はな)しています。 男(おとこ)の人(ひと)は このあと どの ボタンを 押(お)しますか。  Ｍ：すみません。ちょっと、コピーの 仕(し)方(かた)を 教(おし)えてもらえませんか。 　　青(あお)いボタンを 押(お)したんですが、字(じ)が 小(ちい)さくなってしまったんです。 Ｆ：字(じ)を 大(おお)きくするなら、赤(あか)いボタンを 押(お)してください。 Ｍ：あ、はい。それから、もう少(すこ)し 濃(こ)くしたいんです。 Ｆ：じゃあ、黄(き)色(いろ)いボタンを 押(お)してください。 　　薄(うす)くするときは、白(しろ)いボタンです。 Ｍ：そうですか。どうもありがとうございます。  男(おとこ)の人(ひと)は このあと どの ボタンを 押(お)しますか。,,,,,
1ばん,りょうしん,あね,いもうと,おとうと,おとうと,n4q2.m4a,146,225,,,"1번 남자의 학생과 여학생이 이야기를 하고 있습니다. 여학생은 누구와 함께 살고 있나요?  M: 야마다 씨, 새롭다 생활은 어때? F: 네, 매일(매일) 즐겁습니다. M: 양쪽 부모와 한 줄이 아니라, 외롭지 않아? F: 네, 조금. 하지만, 동생과 함께 살고 있기 때문에, 대장부(다이죠부)입니다. M: 그렇구나. 형(형)과 동생(동생)은 동생(동생)님 한 사람? F: 언니도 있습니다. 언니는 양부모와 함께 살고 있습니다.  여학생은 누구와 함께 살고 있나요?","Number One: The Boy's Student and A female student is talking. Who do women's students live with?  M: Mr. Yamada, new How are you doing? F: Yes, every day It's fun. M: Aren't you lonely, not with your parents? F: Yes, a little. But with my brother I live there, so I'm a great man. M: I see. My brother is my brother One person? F: I have an older sister, who is with both parents I live there.  Who do women's students live with?",,,１番  男(おとこ)の学(がく)生(せい)と 女(おんな)の学(がく)生(せい)が話(はな)しています。 女(おんな)の学(がく)生(せい)は、だれと 住(す)んでいますか。  Ｍ：山(やま)田(だ)さん、新(あたら)しい 生(せい)活(かつ)はどう？ Ｆ：はい、毎(まい)日(にち) 楽(たの)しいです。 Ｍ：ご 両(りょう)親(しん)と 一(いっ)緒(しょ)じゃなくて、寂(さび)しくない？ Ｆ：ええ、少(すこ)し。でも、弟(おとうと)と 一(いっ)緒(しょ)に 住(す)んでいるので、大(だい)丈(じょう)夫(ぶ)です。 Ｍ：そうなんだ。兄(きょう)弟(だい)は 弟(おとうと)さん 一(ひと)人(り)？ Ｆ：姉(あね)も います。姉(あね)は 両(りょう)親(しん)と 一(いっ)緒(しょ)に 住(す)んでいます。  女(おんな)の学(がく)生(せい)は、だれと 住(す)んでいますか。,,,,,
2ばん,今すぐ,今日の4時,今日の6時,あしたのひる,今日の4時,n4q2.m4a,223,329,,,"2번 대학에서, 여성 학생이 남자 학생과 이야기를 나누고 있습니다. 여학생은 언제 남학생에게 상담을 할까요?  F: 선배(선배), 상담하고 싶은 것이 있는데, 지금 괜찮을까요? M: 미안. 지금부터 수업이 있구나. F: 그렇군요. 그럼, 오늘 저녁은 어떠세요? M: 6시부터 대략적인 묶음이 있지만, 4시쯤이면 대장부야. F: 4시(じ)네요. M: 아, 내일 낮에도 괜찮아. F: 죄송합니다. 내일은 할 일이 있어요. M: 그래. 그럼, 역시 오늘(오늘)로 하자. F: 네. 부탁드립니다. 그럼, 교실에서 기다리고 있을게요.  여학생은 언제 남학생에게 상담을 할까요?","In the second largest university, a female student said I'm talking to a male student. When Will a Female Student Become a Boy's Student Would you like to discuss it with me?  F: Senpai, I'd like to talk to you about something. Can I talk to you now? M: Sorry, from now on Teaching There is. F: Really? So, how about this evening? M: From 6 o'clock I have an appointment, but around 4 o'clock He's a great man. F: It's four o'clock. M: Ah, even tomorrow afternoon OK. F: I'm sorry. I have something to do tomorrow. [MK] Right. Then, as expected Let's do it today. F: Yes. Thank you. I'll be waiting in the classroom.  When Will a Female Student Become a Boy's Student Would you like to discuss it with me?",,,２番  大(だい)学(がく)で、女(おんな)の学(がく)生(せい)が 男(おとこ)の学(がく)生(せい)と話(はな)しています。 女(おんな)の学(がく)生(せい)は、いつ、男(おとこ)の学(がく)生(せい)に 相(そう)談(だん)しますか。  Ｆ：先(せん)輩(ぱい)、相(そう)談(だん)したいことがあるんですが、今(いま)、いいですか。 Ｍ：ごめん。今(いま)から 授(じゅ)業(ぎょう)が あるんだ。 Ｆ：そうですか。じゃ、今(きょう)日の 夕(ゆう)方(がた)は どうですか。 Ｍ：６時(じ)から 約(やく)束(そく)が あるけど、４時(じ)頃(ごろ)なら 大(だい)丈(じょう)夫(ぶ)だよ。 Ｆ：４時(じ)ですね。 Ｍ：あ、明(あした)日の 昼(ひる)でも いいよ。 Ｆ：すみません。明(あした)日は 用(よう)事(じ)が あるんです。 Ｍ：そう。じゃあ、やっぱり 今(きょう)日にしよう。 Ｆ：はい。お願(ねが)いします。じゃ、教(きょう)室(しつ)で 待(ま)っています。  女(おんな)の学(がく)生(せい)は、いつ、男(おとこ)の学(がく)生(せい)に 相(そう)談(だん)しますか。,,,,,
